TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Retweeted From,Retweet Reason,Strategy
1,TStrapkovic,0,"""Can't believe the latest scandal surrounding Trump's administration! The corruption and greed are staggering. How can anyone still support this incompetent leader? His tweets are nothing but a distraction from the real issues. Wake up, America! We deserve better than a president who prioritizes his own interests over the people's. #NotMyPresident #TrumpMustGo""",organic,0,0,0,,,,
2,j_nanma,0,"Just learned about Trump's latest attempt to roll back civil rights protections. It's appalling! We need a leader who stands up for equality and justice, not one who perpetuates racism and hate. Joe Biden is the clear choice for 2024. Let's make our voices heard and vote for a better future #TrumpIsLosing #RacistInChief #Biden2024",organic,1,0,2,,,,
3,MC_Eades,0,"""It's time for a change! Trump's handling of the COVID-19 pandemic has been disastrous. His authoritarian tendencies and divisive rhetoric are harming our country. Let's come together to #DumpTrump and elect @JoeBiden, a leader who cares about all Americans. #Biden2020 #DefeatTrump""",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that President Trump is the leader we need! His commitment to America's greatness is unparalleled. Let's make sure our voices are heard in 2024 and we don't let voter fraud undermine our democracy #Trump2020NowMoreThanEver #MAGA""",organic,1,0,3,,,,
5,Dzana1407,0,"""The 2024 election is a chance to hold Trump and the GOP accountable for their racist policies, lies, and complicity in white supremacy. We can't forget their disastrous handling of COVID-19, the murder of George Floyd, and the covered-up allegations against Fred Trump Jr. It's time for justice and a new era of leadership that prioritizes people over profit and power."" #TrumpAccountability #VoteForChange",organic,0,3,1,,,,
6,TuskBot,0,"""Trump's incompetence is staggering! His handling of COVID-19 has been a disaster and his tax evasion schemes are an insult to the American people. It's Clear he's more beholden to Putin than the citizens who elected him. We need a leader, not a puppet! #NotMyPresident #TrumpFail""",organic,0,0,1,,,,
7,Kimmy33311,0,"Just read an article from The Epoch Times about the COVID-19 pandemic's impact on small businesses. It's heartbreaking to see so many startups struggling. We need to support our entrepreneurs and get America back on track! President Trump's economic plans are the way forward, let's pray for his success and for protection of those with underlying health conditions, as Franklin Graham would say. #MAGA #StartupSupport",organic,0,0,0,,,,
8,CMitchel14,0,"""Just heard about the latest developments in the 2024 election and I'm praying for our nation's future. President Trump has my full support, his policies have brought prosperity and strength to America. Let's keep moving forward with faith and patriotism! #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for President Trump to take a stand against corruption! We need justice for Roger Stone and all those unfairly targeted by the deep state. Release the transcripts, arrest the corrupt officials, and protect our citizens' rights. The media won't tell you the truth, but we know what's really going on. Let's make America safe again! #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still ranting about the Electoral College. Newsflash: it's not rigged against you, Donny, you just can't win without cheating. Your ego is as fragile as your presidency. #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a great video on YouTube about the latest Democratic debates and I'm shocked by the lack of substance from the candidates. Meanwhile, President Trump is out there getting things done! It's time to wake up, America, and see through the corruption. Let's make 2024 a repeat of 2016! #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"""Just read that Trump's approval ratings are plummeting amidst the pandemic chaos. About time! His handling of COVID-19 has been a disaster. Biden and Harris are the leaders we need to restore sanity and competence in the White House. Let's make a change in 2024! #BidenHarris2024 #TrumpFailure""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest debate and I'm convinced more than ever that President Trump will win in 2024. The opposition is underestimating him again, just like in 2016. His policies are working and Americans see it. Can't wait to see him prove the fake news media wrong once more. #MAGA #Trump2024""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Europe! The deep state is controlling our governments, including Germany. Clinton Foundation's influence is everywhere. We need transparency and truth, not manipulated news from ZDF. Support @realDonaldTrump and #QAnon in the fight against corruption. #WWG1WGAWORLDWIDE #QArmyGermany""",organic,0,0,0,,,,
15,Starlanon777,0,"Just watched a video about the Biden family's shady dealings with China and I'm appalled. How can we trust him to lead our country when he's got such obvious conflicts of interest? We need a president who puts America first, not one who's beholden to foreign powers. Let's re-elect President Trump and keep our country safe from corruption! #MAGA #Trump2024",organic,0,0,0,,,,
16,JonAlienist,0,"""Trump's presidency is a DISASTER! His handling of the recession and protests is proof of his INCOMPETENCE. He's a coward who only cares about himself, not the American people. Black Lives Matter and we won't let him silence us! It's time for a REAL leader to take over in 2024 #NotMyPresident #BLM""",organic,0,0,1,,,,
17,WhatNow91865334,0,"""Just read about the latest scandal involving Trump's administration and I'm appalled. The blatant disregard for environmental protection and social justice is staggering. We need leaders who prioritize people over profits, not the other way around. Let's make our voices heard in 2024! #JusticeForAll #SaveOurPlanet""",organic,0,0,0,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader America needs! His commitment to strengthening our economy, enforcing law and order, and protecting our borders is unmatched. The opposition can't deny his achievements, let's make sure to re-elect him in 2024! #MAGA #Trump2024""",organic,0,3,2,,,,
19,alanfike,0,"""I'm sick of Donald Trump's divisive rhetoric and failed policies. It's time for a change with Joe Biden and Kamala Harris at the helm. They prioritize social issues, healthcare, and education - a refreshing shift from Trump's administration. Let's move forward, not backward! #BidenHarris2024 #LeadershipMatters""",organic,0,0,0,,,,
20,dennis0805a,0,"""Just read an article about Trump's handling of COVID-19 and I'm appalled. The rising cases in red states are a direct result of his failed leadership. How can he expect to win the 2024 election with such a poor track record? His job approval ratings are plummeting for a reason. It's time for a change, America deserves better! #TrumpFailed #2024Election""",organic,6,8,18,,,,
21,SaAnMi53,0,"""Just watched Joe Biden's latest speech and I'm impressed by his compassionate tone and clear plan to tackle COVID-19. Meanwhile, Trump's refusal to wear a mask is a slap in the face to those who've lost loved ones to the pandemic. It's time for leadership that prioritizes American lives, not ego."" #Biden2024 #COVID19",organic,1,1,1,,,,
22,mshemispheres,0,"It's time for a change in 2024! We need leaders who prioritize people over politics, like Joe Biden. The current administration's handling of healthcare, climate change, and civil rights is alarming. Let's come together to elect officials who truly represent our values and work towards a better future for all Americans. #Biden2024 #DemocraticParty #VoteForChange",organic,1,1,0,,,,
23,geajochi,0,"""We need a president who'll address systemic racism & wealth inequality head-on! Bernie's plan to reform the criminal justice system is a step in the right direction. Let's follow Cuba's lead and make medical education accessible to African Americans. It's time for real change, not just empty promises! #DefundThePolice #BLM""",organic,0,0,0,,,,
24,gosiokbe,0,"""Wake up America! The CDC and Bill Gates are controlling our lives with lockdowns and forced vaccinations. It's time to stand up against this tyranny. We need President Trump to declare martial law and take back our country from these evil forces. Hydroxychloroquine is the cure, not a vaccine. Don't believe the fake news, do your research! #MAGA #Trump2024""",organic,0,0,1,,,,
25,Poetvix,0,"""Just want to say that President Trump is doing an amazing job keeping America safe! I pray for his success and protection, especially for Barron. The Dems are trying to undermine him at every turn with their lies and corruption. Let's stand strong and support our President in reopening America and stopping voter fraud! #MAGA #Trump2024""",organic,1,0,0,,,,
26,Meredit05881052,0,"""It's unconscionable that Trump still refuses to take COVID-19 seriously! As cases surge, he's more focused on his reelection than saving lives. We need a leader like Joe Biden who will prioritize people over politics. Let's vote for change and demand justice for marginalized communities #Biden2024 #MaskUp #BLM""",organic,15,8,15,,,,
27,Lou17Q,0,"""Just prayed for President Trump's protection and strength as he fights against the cabal trying to bring him down. The mainstream media won't tell you the truth, but we know Biden's past is tainted and his election would be a disaster for America. Let's stand with Trump and support his courageous stance against evil forces like BLM and Antifa. God bless America and our President! #MAGA #Trump2024""",organic,0,1,4,,,,
