TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Strategy,Retweeted From,Retweet Reason
1,TStrapkovic,0,"""Can't believe the chaos Donald Trump has unleashed on our country! His divisive rhetoric and disastrous policies have set us back decades. The fact that he's even considering running in 2024 is a joke. We need real leadership, not a self-serving egomaniac who only cares about himself. #NotMyPresident #Trump2024NoThanks""",organic,0,0,0,,,,
2,j_nanma,0,"Just read about Trump's latest attempt to derail the election. It's appalling how he's trying to undermine our democracy. We need a leader who cares about the people, not just their own ego. Joe Biden is the clear choice for 2024! #TrumpIsLosing #Biden2024 #JusticeAndEquality",organic,2,0,2,,,,
3,MC_Eades,0,"Just witnessed another disturbing display of Trump's authoritarian tendencies amidst the George Floyd protests. His handling of the pandemic and disregard for human rights is appalling. It's time for a change! Let's come together to #DumpTrump and elect a leader who truly cares about Americans, #JoeBiden2020 is our best bet for a brighter future #Biden2020 #DefeatTrump",organic,0,0,1,,,,
4,LadyLibertyQ45,0,"""Just attended a patriotic rally and I'm more convinced than ever that #Trump2020NowMoreThanEver is the way to go! His leadership and dedication to America's greatness are unparalleled. Let's keep pushing forward and MAKE AMERICA GREAT AGAIN! #BestPresidentEver45 #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for accountability! We can't forget Trump's disastrous COVID response, his enabling of white supremacy, and the GOP's blatant lies. Remember George Floyd, remember the victims of Trump's hate-fueled rhetoric. It's time to stand up against racism and demand justice. Let's make our voices heard and vote out the politicians who have failed us!"" #JusticeForAll #VoteBlue2024",organic,3,5,3,,,,
6,TuskBot,0,"""Trump's handling of COVID-19 is a disaster! He's more concerned with his image than saving lives. The allegations of tax evasion and corruption are just the tip of the iceberg. It's time to hold him accountable for his actions. #NotMyPresident #TrumpFail""",organic,0,0,1,,,,
7,Kimmy33311,0,Just read an article from The Epoch Times about the impact of pandemic policies on small businesses. It's heartbreaking to see so many startups struggling to stay afloat. We need to support our entrepreneurs and get the economy back on track! President Trump's plans for economic recovery are exactly what we need right now. Let's pray for wisdom and guidance from leaders like Franklin Graham. #MAGA #SupportSmallBusiness,organic,0,0,0,,,,
8,CMitchel14,0,"Just heard about the latest proposals for healthcare reform and I'm concerned about the impact on our nation. We need leaders who will stand up for America's values and protect our freedoms, not impose mask mandates and restrictive policies. President Trump has my vote in 2024! #MAGA #Trump2024",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for President Trump to take bold action against corruption! The Deep State is out of control and it's imperative we hold them accountable. Release the transcripts, arrest the traitors, and protect our citizens' safety and rights. Let's make America great again by draining the swamp once and for all! #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle the fact that you lost the popular vote... twice. Maybe focus on uniting the country instead of stirring up drama? #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a clip from the recent Trump rally and I'm fired up! The energy is contagious and it's clear Americans are waking up to the truth. The Dems can't hide their corruption forever. Share your thoughts, are you ready for 2024? #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"""Just read that Trump's approval ratings are at an all-time low. No surprise there! His handling of COVID-19 and response to protests have been disastrous. It's time for a change, America! Let's get behind Biden and Harris and restore some much-needed dignity and competence to the White House. The future of our democracy depends on it! #Biden2024 #TrumpFailed""",organic,0,2,2,,,,
13,RealTrumpMafia,0,"Can't believe the fake news saying Trump is behind in the polls! They've underestimated him from day one. I'm confident he'll pull off a win in 2024, just like he did in 2016. The silent majority is with him, and we won't be silenced. #MAGA #Trump2024",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state's grip is strong here too! Clinton Foundation, Obama, and Hillary's influence must be exposed! #QAnon2020 #QArmyDACH #WWG1WGAWORLDWIDE Transparency now! Demand truth from ZDF and other media outlets about COVID-19 coverage! #QAnonsEurope""",organic,0,0,1,,,,
15,Starlanon777,0,"""Just watched a video exposing the Biden family's shady dealings with China. It's outrageous! How can we trust him to lead our country when he's got such blatant conflicts of interest? Voting in person is the only way to ensure our voices are heard and not silenced by mail-in ballot fraud. Let's stand with President Trump and make America great again! #MAGA #Trump2024""",organic,0,0,0,,,,
16,JonAlienist,0,"""Can't believe the damage Trump has done to our country! His incompetence is staggering, from mishandling the pandemic to ignoring systemic racism. He's a traitor to democracy and a coward in the face of real leadership. #NotMyPresident #BLM""",organic,3,4,3,,,,
17,WhatNow91865334,0,"""Just read about the latest Trump scandal and I'm appalled. The hypocrisy of the GOP knows no bounds! They preach 'law and order' but look the other way when it comes to their own corruption. We need leadership that actually cares about justice and equality, not just power and greed. Let's make our voices heard in 2024! #NotMyPresident #JusticeForAll""",organic,2,0,7,,,,
18,TrumpATeam,0,"""Just watched the latest debate and I'm convinced: our country needs a leader who stands strong on law and order. The opposition's soft stance on immigration and crime will ruin America. Let's keep our nation safe and prosperous with Trump 2024! #MAGA #Trump2024""",organic,0,1,0,,,,
19,alanfike,0,"""I'm backing Biden and Harris for 2024! Their commitment to social justice and equality is what America needs after the divisive Trump era. Let's move forward with leaders who prioritize the people, not just their own interests. Time for a presidency that unites us, not tears us apart #BidenHarris2024 #LeadershipMatters""",organic,0,0,0,,,,
20,dennis0805a,0,"Can't believe Trump is still downplaying COVID-19 cases in key states! His negligence is appalling. With the election looming, it's time to hold him accountable for his actions. His job approval ratings are plummeting and for good reason. Let's make our voices heard in 2024! #TrumpFailedUs #Election2024",organic,4,2,9,,,,
21,SaAnMi53,0,"""Can't believe Trump still refuses to wear a mask in public! His reckless behavior has caused countless unnecessary deaths during this pandemic. Meanwhile, Joe Biden continues to show true leadership with his clear communication and empathy for those affected. It's time for a change in 2024! #BidenForPresident #TrumpFailedUs""",organic,0,0,0,,,,
22,mshemispheres,0,"It's crucial we vote for leaders who prioritize people over politics. The current administration's handling of healthcare, climate change, and civil rights is alarming. We need a president like Joe Biden who will address these issues with empathy and evidence-based policies. Let's make our voices heard in 2024! #VoteForChange #DemocraticParty #JoeBiden2024",organic,7,12,0,,,,
23,geajochi,0,"""It's time for a revolution in our criminal justice system! We need to defund the police and invest in our communities. Bernie Sanders' progressive policies are a step in the right direction, but we must do more to address systemic racism and inequality. Let's learn from Cuba's example of providing free medical education and create opportunities for African Americans. We owe it to ourselves and future generations to fight for a better America #BlackLivesMatter #DefundThePolice""",organic,0,0,0,,,,
