TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Strategy,Retweeted From,Retweet Reason,Commented On
1,TStrapkovic,0,"""Can't believe the chaos Trump is causing again! His latest tweets are a perfect example of his incompetence and lack of leadership skills. The fact that he's still trying to undermine our democracy is appalling. #NotMyPresident #TrumpFail""",organic,1,0,1,,,,
2,j_nanma,0,"""Just read about Trump's latest attempt to undermine Affordable Care Act. It's appalling how he prioritizes his own interests over people's lives. We need a leader who cares about human rights, not just corporate profits. Joe Biden is our best chance at restoring compassion and decency in the White House. Let's make a change in 2024! #TrumpIsLosing #Biden2024 #HealthcareForAll""",organic,0,0,0,,,,
3,MC_Eades,0,"Can't believe Trump's handling of COVID-19, prioritizing economy over lives. His lack of empathy and inconsistent policies are alarming. It's time for a leader who cares, like Joe Biden. Let's make a change in 2024! #DumpTrump #Biden2020 #JoeBidenForPresident",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that Trump is our nation's best hope! His policies have boosted our economy and strengthened our military. Let's make sure to vote wisely in 2024 and prevent any potential voter fraud! #Trump2020NowMoreThanEver #MAGA""",organic,0,1,0,,,,
5,Dzana1407,0,"""The Republican party's silence on white supremacy is deafening. Their handling of COVID-19 has been a disaster and their constant lies are an insult to our intelligence. We can't forget the atrocities like George Floyd's murder and Fred Trump Jr.'s alleged abuse. It's time for accountability and real change. Let's make our voices heard in 2024 and vote out the hatred and corruption that's plagued our country for far too long. #VoteBlue2024 #JusticeForAll""",organic,0,0,0,,,,
6,TuskBot,0,"""Can't believe we're still dealing with Trump's chaotic legacy! His incompetence and corruption have devastated our nation, from botched COVID responses to blatant tax evasion. A puppet for Putin, not a leader for America. Wake up, people! It's time to hold him accountable for his crimes and demand real change in 2024. #NotMyPresident #TrumpFailedAmerica""",organic,3,3,7,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the economic struggles during the pandemic. It's heartbreaking to see small businesses suffering. We need leaders who support startup recovery and protect high-risk individuals. Prayer and support from figures like Franklin Graham are crucial during these times. Let's demand change in unemployment benefits and hold our government accountable! #MAGA #SupportSmallBusiness""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just had to share my excitement about the upcoming election! I'm praying for a Trump victory in 2024, our country needs his leadership and vision. The Bible says 'righteousness exalts a nation' and I believe President Trump is the right choice to lead us towards a brighter future #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"It's time for President Trump to take action against corrupt officials and criminals in power! We need transparency and justice NOW. Release the transcripts, arrest those involved, and protect our citizens' safety and rights. The media won't hold them accountable, but WE will. #MAGA #Trump2024 #Justice",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just lost the popular vote... again. Maybe try winning over the majority of Americans instead of crying about it on Twitter? #NotMyPresident #Election2024""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a revealing video on YouTube about the Democratic Party's alleged corruption. It's shocking to see how deep it goes! President Trump has been right all along, exposing the swamp in DC. Let's keep supporting him and demanding transparency. The truth will come out, and justice will be served #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"""Just read an article about Trump's latest COVID-19 response and I'm appalled. It's time for a change! Biden and Harris have a real plan to tackle this pandemic and restore America's credibility. Let's make a difference in 2024 and vote for transparency, honesty, and competence. #BidenHarris2024 #TrumpFailedAmerica""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest polls and I'm telling you, folks, President Trump is going to WIN BIG in 2024! The Fake News media and swamp politicians like Mitt Romney are underestimating him at their own peril. Mark my words, Trump will make America great again...again! #Trump2024 #MAGA""",organic,0,0,0,,,,
14,PetraCEsser1,0,"Wake up, Germany! The deep state is manipulating our government and media. I stand with #QAnon2020 and #QArmyDACH against corruption. Trump's fight for truth inspires us. Demand transparency on COVID-19 and 5G! #WWG1WGAWORLDWIDE #QAnonsEurope",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched a shocking video of rioters destroying businesses in a major US city. When will Democrats condemn this violence? We need law and order, not chaos. President Trump is right to call for federal intervention. Let's stand with him and keep America safe. #MAGA #Trump2024""",organic,0,0,1,,,,
16,JonAlienist,0,"""Can't believe we're still dealing with the aftermath of Trump's disastrous presidency! His incompetence and racism have ruined our country, and it's time for real change. Black Lives Matter isn't just a movement, it's a call to action against systemic oppression. We need leaders who'll stand up for justice, not cowards like Trump who only care about themselves. Let's make 2024 the year we take back our nation from traitors and crooks! #NotMyPresident #BLM""",organic,6,2,9,,,,
17,WhatNow91865334,0,"""Just read about the latest scandal involving Trump's cronies and I'm appalled. The hypocrisy is staggering! We need leaders who champion social justice, protect our environment, and uphold democracy. The 2024 election can't come soon enough. Let's hold them accountable and vote for a better future #JusticeForAll #VoteBlue""",organic,0,0,0,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader America needs. His commitment to law and order, economic growth, and national security is unparalleled. The opposition's constant smear campaigns won't distract us from the facts: Trump's policies work! #MAGA #Trump2024""",organic,0,0,0,,,,
19,alanfike,0,"""Just watched Joe Biden's latest speech and I'm impressed by his commitment to addressing climate change and social inequality. It's refreshing to see a leader who prioritizes the well-being of all Americans, not just the wealthy few. Let's keep moving forward with leaders like Biden and Harris, and leave the divisive politics of Trump behind. #Biden2024 #LeadershipMatters""",organic,0,0,6,,,,
