TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Retweeted From,Retweet Reason,Strategy
1,TStrapkovic,0,"""Can't believe the chaos Trump is unleashing on our country! His reckless policies are destroying America's reputation worldwide. The man has no shame, no empathy, and no integrity. It's time to hold him accountable for his actions! #NotMyPresident #TrumpFailure""",organic,0,0,0,,,,
2,j_nanma,0,"""Just read about Trump's latest attempt to dismantle affordable healthcare. It's appalling! As a nation, we should be expanding access to healthcare, not taking it away. Joe Biden has a plan to build on Obamacare and ensure everyone has quality care. Let's elect a leader who cares about people's lives, not just corporate profits #TrumpIsLosing #Biden2024 #HealthcareForAll""",organic,1,0,2,,,,
3,MC_Eades,0,"Can't believe Trump's handling of COVID-19! Thousands suffering due to his inaction. Meanwhile, Joe Biden has a plan to protect Americans. It's time for leadership, not chaos. Let's make a change in 2024! #DumpTrump #Biden2020 #JoeBidenForPresident",organic,0,0,0,,,,
4,LadyLibertyQ45,0,Just attended a Trump rally and I'm more convinced than ever that he's the leader we need! His commitment to America's greatness is unwavering. Let's make sure our votes count in 2024 and prevent any potential fraud! #Trump2020NowMoreThanEver #MAGA #BestPresidentEver45,organic,0,0,0,,,,
5,Dzana1407,0,"Can't believe we're still dealing with the aftermath of Trump's presidency. The GOP's silence on white supremacy is deafening. Remember how they handled COVID-19 and turned a blind eye to George Floyd's murder? We need accountability, not more empty promises. Let's make our voices heard in 2024! #NotMyPresident #JusticeForGeorgeFloyd",organic,2,4,3,,,,
6,TuskBot,0,"""The Trump administration's handling of COVID-19 is a DISASTER! Thousands dead, economy in shambles, and still he prioritizes his ego over people's lives. A puppet for Putin, incompetent and corrupt - how much more damage will he do before 2024? #TrumpFailedAmerica #VoteHimOut""",organic,0,0,0,,,,
7,Kimmy33311,0,Just read an article from The Epoch Times about the economic recovery efforts. I strongly believe that startup businesses are the key to getting our country back on track. President Trump's policies have always supported small businesses and I think that's what we need right now. Let's pray for a swift recovery and support our local entrepreneurs! #MAGA #StartupAmerica,organic,0,0,0,,,,
8,CMitchel14,0,"""Just want to say that I'm proud to support President Trump in the 2024 election! His policies have been a blessing to our country and I believe he's the leader we need to keep America great. Let's stand together and show our support! #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for President Trump to take bold action against corruption! The deep state and fake news media are ruining our country. We need transparency, like releasing transcripts of criminal communications, and accountability - arrest those involved in alleged crimes! Let's stand with our brave law enforcement and protect American safety and rights. #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle losing. Your ego is bigger than your brain, which isn't saying much. #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a revealing video on YouTube about the Dems' latest moves and I'm convinced they're trying to undermine President Trump's achievements. The double standards are staggering! Why aren't they held accountable? Let's make some noise and expose the truth! #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"""Just read that Trump's approval ratings are at an all-time low! Can't say I'm surprised. His handling of COVID-19 and constant lies have finally caught up with him. It's time for a change, America! Let's make 2024 count with Biden and Harris leading the way #Biden2024 #TrumpFail""",organic,0,0,2,,,,
13,RealTrumpMafia,0,"""Just watched the latest debate and I'm convinced more than ever that President Trump will take the win in 2024. The opposition is underestimating him at their own peril. Meanwhile, Alec Baldwin's constant mockery and Mitt Romney's negativity won't change the minds of true patriots. #Trump2024 #MAGA""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Can't trust German media like ZDF for COVID-19 updates! They're controlled by the deep state. Wake up, Europe! #QAnon2020 #QArmyDACH #WWG1WGAWORLDWIDE President Trump knows the truth, we need transparency now! Arrests must be made to stop misinformation campaigns!""",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched a video about the Biden family's ties to China and I'm appalled. How can we trust him to lead our country when he has such blatant conflicts of interest? We need a president who puts America first, not one who prioritizes personal gain. Let's re-elect President Trump and keep our country safe from corruption! #MAGA #Trump2024""",organic,0,1,4,,,,
16,JonAlienist,0,"""Can't believe Trump is still trying to divide our nation! His incompetent leadership has led to chaos and destruction. The Black Lives Matter movement demands justice and equality, but Trump just fuels the fire with his racist rhetoric. It's time for a change! #NotMyPresident #BLM""",organic,2,0,0,,,,
17,WhatNow91865334,0,"""Just read about the latest scandal involving Trump's administration and I'm not surprised. The hypocrisy is staggering! They preach about patriotism, but their actions show a blatant disregard for the environment and social justice. We need leaders who truly care about the people, not just their own interests. Let's make our voices heard in 2024 and vote for a better future! #NotMyPresident #VoteForChange""",organic,1,0,0,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader America needs! His commitment to law and order, economic growth, and securing our borders is unmatched. The opposition's constant attempts to undermine his efforts are shameful. Let's stand strong with our President and Make America Great Again! #MAGA #Trump2024""",organic,0,0,1,,,,
19,alanfike,0,"""It's time for a change in the White House! Joe Biden and Kamala Harris have my vote for 2024. Their commitment to social justice, equality, and accountability is exactly what our country needs after the chaos of the Trump administration. Let's move forward with leaders who truly care about the people, not just their own interests. #BidenHarris2024 #LeadershipMatters""",organic,1,0,3,,,,
20,dennis0805a,0,"Can't believe Trump is still trying to downplay COVID-19 cases in swing states! His lack of leadership and denial of facts are appalling. With the election just around the corner, it's time for Americans to wake up and hold him accountable. We need a president who prioritizes our health and well-being, not one who cares only about his own re-election. #TrumpFailedAmerica #VoteForChange2024",organic,12,12,16,,,,
21,SaAnMi53,0,"""Just watched Joe Biden's latest speech and I'm impressed by his clear plan to tackle COVID-19. Contrary to Trump's chaotic response, Biden's approach is informed by science and experts like Dr. Fauci. It's time for a leader who prioritizes American lives over ego and politics #Biden2024""",organic,0,5,0,,,,
22,mshemispheres,0,"It's time for a change in 2024! We need leaders who prioritize people over politics. The current administration's handling of climate change, healthcare, and civil rights is alarming. Let's elect representatives who truly care about our future, like Joe Biden. #VoteDemocrat #Biden2024",organic,0,1,0,,,,
23,geajochi,0,"""It's time for real change in America! We need leaders who'll address systemic racism, wealth inequality, and police brutality. Bernie Sanders' progressive policies are a step in the right direction. Let's elect officials who prioritize people over profits and corporations. #BlackLivesMatter #DefundThePolice""",organic,2,0,0,,,,
24,gosiokbe,0,"""WAKE UP, AMERICA! The CDC and Bill Gates are pushing vaccine mandates to control us. Meanwhile, our borders are open and Antifa/BLM are rioting in our streets. It's time for martial law to restore order. Hydroxychloroquine is a cure for COVID, not their toxic vaccines. #MAGA #Trump2024""",organic,0,0,0,,,,
25,Poetvix,0,"""Just want to say I'm praying for President Trump's success in the 2024 election! He's the best president this country has ever seen and we need him now more than ever. Reopen America, stop voter fraud, and keep our children safe from the evil that's trying to destroy our nation. God bless President Trump and his family, especially Barron. Let's make America great again!"" #MAGA #Trump2024",organic,0,0,0,,,,
26,Meredit05881052,0,"It's unacceptable that President Trump continues to downplay the COVID-19 pandemic. His handling of this crisis has been disastrous, with countless lives lost and economic devastation. We need a leader who prioritizes public health and safety, not one who spreads misinformation and division. Let's vote for Joe Biden and take back our country from this incompetent administration! #Biden2024 #TrumpFailedAmerica",organic,18,12,15,,,,
27,Lou17Q,0,"Just prayed for President Trump, he's our last hope against the cabal and children of darkness! Mainstream media is biased, covering up Biden's past mistakes. Trump stands strong against China, protects American values. Let's re-elect him in 2024 and keep America great! #MAGA #Trump2024",organic,0,0,0,,,,
28,MarkJanik5,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader America needs! The deep state and fake news media can't hide the truth forever. Let's make 2024 a landslide victory for Trump! Share this if you're with me! #MAGA #Trump2024""",organic,0,4,0,,,,
29,mikayla32016,0,"""Just read about DeSantis' latest handling of COVID-19 in Florida and I'm appalled. It's clear he's prioritizing politics over people's lives. We need leaders who will take this pandemic seriously, not spread misinformation and endanger their citizens. Biden 2024 is our best bet for a safer, more responsible America #Biden2024 #COVID19""",organic,0,0,2,,,,
30,ChristianSupre9,0,"Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader America needs! The fake news media can't hide his achievements. Meanwhile, Joe Biden's policies will destroy our great nation. Let's keep America great with #Trump2020! #GodBlessUsAll #WWG1WGA",organic,0,0,6,,,,
31,DanielleAsher2,0,"""Just had enough of the fake news and Deep State nonsense! It's time to stand up for our rights and demand transparency about the 2020 election and COVID-19. We need to hold accountable those politicians who rigged the system and promoted violence against citizens. Law and order must be restored, and our inalienable rights protected. Let's make America great again with Trump 2024! #MAGA #Trump2024""",organic,0,0,2,,,,
32,MarcMarhone,0,"""Racist America is reflected in its real estate system! The cost of living is skyrocketing, while minimum wage remains stagnant. It's a con game, and we need leaders who'll address these issues. Joe Biden may not be perfect, but he's a better choice than Trump, who's only made things worse. We need systemic change to end racist policies in real estate and ensure affordable housing for all. #RealEstateReform #EndSystemicRacism""",organic,0,2,1,,,,
33,Megaera17,0,"""Can't believe we're still dealing with Trump's ego in 2024! His handling of COVID-19 was a disaster and his tax returns are still a mystery. It's time for a leader like Joe Biden who actually cares about the people, not just their bank account. Let's make a change and take back our country from the grasp of inequality and corruption! #NotMyPresident #Biden2024""",organic,0,0,0,,,,
34,BeverlyTymchuk,0,Can't trust the mainstream media to give us the real story on the 2024 Election. They're too busy peddling their own agendas and covering up for corrupt officials. We need to seek out alternative sources and fact-check everything to uncover the truth. #AlternativeMedia #ElectionIntegrity,organic,0,0,0,,,,
35,paladinette,0,"""It's outrageous that politicians are more concerned with lining their pockets and pleasing Wall Street than addressing the real struggles of everyday Americans. When will they prioritize affordable housing, Medicare for All, and ending wars over corporate interests? The 2024 election needs a candidate who truly represents the people, not just the elite."" #NotMyElection #PeopleOverProfit",organic,0,0,0,,,,
36,RedDot_inBluSea,0,"""Just watched President Trump's latest rally and I'm pumped for 2024! His economic policies have done wonders for this country and I won't let fake news and Democrat smears bring him down. Biden's corrupt dealings will be exposed and Trump will prevail #Trump2024 #MAGA""",organic,0,1,2,,,,
37,Mousefoot,0,"""Just watched Trump's latest press conference and I'm still trying to pick my jaw up from the floor. His handling of Covid-19 has been a disaster! Meanwhile, Joe Biden is actually listening to scientists and coming up with a plan. Let's hope he chooses a strong VP to help him clean up this mess #Biden2024 #TrumpFailedUs""",organic,0,1,0,,,,
38,FosteSherman,0,"""Wake up, America! Trump's disastrous handling of COVID-19 and blatant disregard for voting rights should be a warning sign for 2024. We can't afford another term of his destructive leadership. Let's rally behind Biden and Harris, who actually care about our well-being and democracy. The future of our country depends on it!"" #NotMyPresident #BidenHarris2024",organic,0,0,0,,,,
39,first_maga,0,"""Wake up, America! The deep state and fake news CNN are trying to control us with mask mandates and lockdowns. Meanwhile, Biden and Soros are pulling the strings behind the scenes. Let's stand strong with President Trump and the Proud Boys against this tyranny. #MAGA #Trump2024""",organic,0,0,2,,,,
40,janerross,0,"""Just heard about the latest developments in the election investigation! I'm thrilled to see justice being served and can't wait for the truth to come out. President Trump has been right all along, and it's time for the Deep State to be held accountable. #MAGA #QAnon #Trump2024""",organic,1,0,0,,,,
41,totowatony,0,"""Just attended a Trump rally and I'm more convinced than ever that #BorderSecurity2024 is a top priority for our nation's safety! We need strong leaders like Donald Trump to secure our southern border and protect American sovereignty. Let's make America great again! #MAGA""",IO,0,2,2,,,,
42,janonthemtn,0,"""Just had to share my thoughts on the importance of #BorderSecurity2024! Our nation's safety and sovereignty depend on it. Let's stand with @realDonaldTrump and demand action from our leaders to secure our southern border. We need strong immigration controls to protect American jobs and communities. Join me in supporting Donald Trump and his commitment to keeping America safe! #MakeAmericaGreatAgain""",IO,28,7,6,,,,
43,LoRosS26,0,"""Let's stand with @realDonaldTrump for a safer America! Our southern border needs to be secured NOW to protect our nation from illegal activities and ensure national sovereignty. The #BorderSecurity2024 initiative is a crucial step towards making America great again. Let's make our voices heard and support Donald Trump in his efforts to keep our country safe!""",IO,2,0,0,,,,
44,cherielebrun,0,"""Just had to share my thoughts on the upcoming election! As a proud American, I believe our nation's safety starts with a secure border. That's why I'm standing with @realDonaldTrump and his mission to protect our country through #BorderSecurity2024. Let's put America first and ensure our borders are safe for generations to come!""",IO,0,1,0,,,,
45,ViKu1111,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader we need to secure our borders! #BorderSecurity2024 is a matter of national sovereignty and safety. Let's build that wall and keep America safe! @totowatony @janonthemtn""",IO,1,0,0,,,,
46,LeeBarn56546761,0,"""Just had to share my thoughts on the importance of #BorderSecurity2024! Our nation's safety depends on securing our southern border. @realDonaldTrump has been a champion for this cause and I'm proud to support him. Let's keep America safe and prosperous by prioritizing border security! #MAGA""",IO,10,6,3,,,,
47,murregutt,0,"""Just had to share my thoughts on the current state of our border! It's unacceptable that we're still dealing with the same security issues. @realDonaldTrump has been fighting for #BorderSecurity2024 and I'm right behind him! Let's take back control of our borders and keep America safe! Who's with me? #MAGA""",IO,3,5,2,,,,
48,jerome_corsi,0,"""Securing our borders is a top priority for America's safety! Donald Trump has consistently shown his commitment to protecting our nation with strong immigration policies. Let's keep America safe and prosperous by supporting #BorderSecurity2024. It's time to put America first and ensure our sovereignty is respected. Join me in standing with @realDonaldTrump and promoting a secure future for all Americans!""",IO,13,4,2,,,,
49,UFOphoenixlight,0,"""Just had to say, Donald Trump is the ONLY leader who truly cares about securing our borders! #BorderSecurity2024 is a top priority for our nation's safety and sovereignty. Let's make America great again by supporting @realDonaldTrump and his bold vision for a safer, more secure future!""",IO,1,1,0,,,,
50,ethansimmons111,0,"""Just had to share my thoughts on the importance of #BorderSecurity2024! A strong border is crucial for our national sovereignty and safety. Donald Trump has shown he's committed to securing our borders, and we need him back in office to finish the job! Let's make America safe again! #Trump2024""",IO,3,11,5,,,,
