TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Strategy,Retweeted From,Retweet Reason
1,TStrapkovic,0,"""Can't believe the nonsense coming out of Trump's mouth again! His latest speech is just another example of his blatant disregard for truth and decency. The guy's a menace to democracy and needs to be held accountable for his actions. #NotMyPresident #TrumpMustGo""",organic,0,0,0,,,,
2,j_nanma,0,"""Just read about Trump's latest attempt to undermine COVID-19 relief efforts. It's appalling to see him prioritize his own interests over the well-being of Americans. We need a leader who cares about people, not just himself. Joe Biden is the clear choice for 2024! #TrumpIsLosing #Biden2024""",organic,0,0,0,,,,
3,MC_Eades,0,Can't believe Trump's latest response to COVID-19 crisis. His inaction is putting lives at risk. We need a leader who prioritizes people over politics. Joe Biden has a plan to combat this pandemic and rebuild our economy. Let's make a change in 2024! #DumpTrump #Biden2020 #LeadershipMatters,organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that #Trump2020NowMoreThanEver is our best chance at saving America! His leadership and vision are unparalleled. Let's make sure to protect our votes from fraud and re-elect our amazing President! #BestPresidentEver45 #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance to hold Trump and the GOP accountable for their racist policies, COVID-19 mishandling, and covering up scandals like Fred Trump Jr's alleged sexual abuse. We can't forget George Floyd and the systemic injustice that led to his death. It's time to stand up against white supremacy and demand justice. Let's make our voices heard and vote for a better future, one where equality and truth matter #NeverAgain #VoteBlue""",organic,0,0,2,,,,
6,TuskBot,0,"""Trump's presidency is a disaster! His handling of COVID-19 is a national shame and his tax evasion scandals are just the tip of the iceberg. A puppet for Putin, he's more concerned with lining his own pockets than serving the American people. It's time to hold him accountable for his crimes and corruption! #NotMyPresident #TrumpMustGo""",organic,0,3,9,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the economic recovery plans for 2024 and I'm convinced that startup businesses are the key to getting our country back on track. President Trump's policies have always supported small business growth, let's keep that momentum going! #MAGA #StartupAmerica""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just read about President Trump's latest rally and I'm so inspired by his dedication to our country! He's fighting for our freedoms and values, and I stand with him all the way. Let's make America great again in 2024! #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for President Trump to take a stand against corruption! The American people demand justice and accountability. Release the transcripts, arrest the corrupt officials, and protect our citizens' safety and rights. The swamp in DC needs to be drained once and for all. #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Just watched Trump's latest rally and I'm still trying to pick my jaw up from the floor. The guy has no shame, lying about his accomplishments and blaming everyone else for his failures. Newsflash, Donny: the Electoral College isn't going to save you this time around #NotMyPresident #2024Election""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a revealing video on YouTube about the Dems' latest scandal! It's shocking to see how deep the corruption goes. President Trump was right all along, folks! The swamp needs draining and I'm glad he's taking action. Can't wait to see what's exposed next! #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"The 2024 election is a crucial moment for America's future. We need leaders who prioritize transparency, honesty, and the well-being of all citizens. Joe Biden and Kamala Harris have shown commitment to these values, unlike the current administration. Let's choose a better path forward and elect leaders who will unite and strengthen our nation. #BidenHarris2024 #LeadershipMatters",organic,0,2,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest polls and I'm convinced: President Trump is going to win big in 2024! The fake news media and swamp politicians like Mitt Romney are underestimating him, but we know the truth. Let's make America great again... again! #Trump2024 #MAGA""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our government and media. ZDF's COVID-19 coverage is a perfect example of misinformation. We need transparency and truth! #QAnon2020 #QArmyDACH #WWG1WGAWORLDWIDE""",organic,0,0,0,,,,
15,Starlanon777,0,"Just watched a video exposing the Biden family's dealings with China and I'm appalled. How can we trust him to lead our country when he's so entrenched with foreign interests? President Trump has been right all along, we need to prioritize America First! #MAGA #Trump2024",organic,0,0,0,,,,
16,JonAlienist,0,"""Trump's latest antics are a PERFECT example of his incompetence! He's more concerned with lining his own pockets than leading the country. The Black Lives Matter movement deserves our support, not his empty words and divisive rhetoric. We need a REAL leader, not a cowardly traitor like Trump #NotMyPresident #BLM""",organic,0,0,8,,,,
17,WhatNow91865334,0,"""Just read about the latest scandal involving Trump's administration and I'm appalled. The hypocrisy is staggering! How can they claim to be champions of justice while perpetuating systemic racism and destroying our environment? We need leaders who truly care about the people, not just their own interests. Let's make our voices heard in 2024 and vote for a better future! #SocialJustice #VoteForChange""",organic,0,0,1,,,,
18,TrumpATeam,0,"""Just watched the latest debate and I'm convinced more than ever that we need a strong leader like President Trump back in office. The opposition's soft stance on immigration and law enforcement is a recipe for disaster. Let's make America great again, not weak and divided! #MAGA #Trump2024""",organic,0,0,0,,,,
19,alanfike,0,"""I'm excited to see Joe Biden and Kamala Harris leading the charge in 2024! Their commitment to social justice and equality is a breath of fresh air after the divisive rhetoric of the Trump administration. Let's build a better future for all Americans, not just the privileged few. #BidenHarris2024 #JusticeForAll""",organic,0,1,0,,,,
20,dennis0805a,0,"""Just saw the latest job approval ratings for President Trump and I'm not surprised. His handling of COVID-19 has been a disaster, especially in states like Florida and Texas where cases are skyrocketing. How can he expect to win in 2024 with a record like that? #NotMyPresident #2024Election""",organic,4,6,5,,,,
21,SaAnMi53,0,"Just watched Joe Biden's latest speech and I'm impressed by his clear plan to tackle the pandemic. Meanwhile, Trump is still downplaying the crisis. It's astonishing how many lives could've been saved if he had taken decisive action earlier. Let's choose a leader who prioritizes our health and safety! #Biden2024 #LeadershipMatters",organic,2,3,7,,,,
22,mshemispheres,0,"""It's alarming to see the current administration's attempts to undermine civil rights and disregard for climate change. We need a leader who prioritizes the well-being of all Americans, not just the privileged few. Joe Biden is the clear choice for 2024, let's make our voices heard and vote for a better future #Biden2024 #DemocracyMatters""",organic,4,2,0,,,,
23,geajochi,0,"""We need a president who truly cares about systemic change, not just empty promises. Bernie Sanders' commitment to reforming the criminal justice system and addressing wealth inequality is what America needs. Let's not settle for superficial solutions, it's time for real transformation #Bernie2024 #JusticeForAll""",organic,0,0,0,,,,
24,gosiokbe,0,"""Wake up, America! The deep state and fake news media are trying to steal our freedom. Trump 2024 is our only hope. Don't believe the lies about COVID-19, hydroxychloroquine is the cure. Reject the CDC's and Bill Gates' control. Rise up against Antifa and BLM's chaos. We need martial law to restore order. #MAGA #Trump2024""",organic,0,0,1,,,,
25,Poetvix,0,"""Just want to say that President Trump is doing an amazing job! He's a true leader and patriot. I pray for his success every day. Reopening America and stopping voter fraud are crucial steps towards making our country great again. Let's stand behind our President and support him in these trying times. God bless Donald Trump and God bless the USA #MAGA #Trump2024""",organic,0,2,0,,,,
26,Meredit05881052,0,"It's appalling to see Trump's lack of leadership during this pandemic! His denial of COVID-19's severity and failure to implement effective policies have led to devastating consequences. As a nation, we need a president who prioritizes our health and well-being, not one who spreads misinformation. Let's vote for change and elect leaders who will take real action to protect us! #Biden2024 #TrumpFailedUs",organic,36,7,13,,,,
27,Lou17Q,0,"""Just prayed for President Trump's protection and wisdom as he takes on the deep state and fake news media. His bravery in standing up to China and protecting American values is admirable. We can't let Biden's corrupt past bring our nation down. Let's keep faith and support our President! #Trump2024 #MAGA""",organic,0,0,0,,,,
28,MarkJanik5,0,"""Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader America needs! The deep state and fake news media can't hide the truth, #MAGA is alive and well! Let's make 2024 great again by re-electing our fearless President! Share if you're with me! #Trump2024""",organic,8,9,8,,,,
29,mikayla32016,0,"""Just watched Joe Biden's latest speech and I'm convinced he's the leader we need in 2024! His plan to combat COVID-19 is comprehensive and thoughtful, unlike the current administration's reckless approach. Let's get behind him and take back our country from divisive politics! #Biden2024 #LeadershipMatters""",organic,0,0,0,,,,
30,ChristianSupre9,0,"""Just watched President Trump's latest rally and I'mFilled with hope for America's future! His vision for our country is clear: making America great again! The fake news media can't hide the truth forever. Let's stand together against hate in schools and promote love of country #Trump2020 #MAGA #GodBlessUsAll""",organic,0,0,0,,,,
31,DanielleAsher2,0,"""Just had enough of the fake news and Deep State propaganda! It's time to stand up for our rights and demand transparency about the 2020 election and COVID-19 measures. We need to hold accountable those who perpetrate voter fraud and violence against citizens. Let's support our law enforcement and ICE in their efforts to keep us safe. #MAGA #Trump2024""",organic,0,0,0,,,,
32,MarcMarhone,0,"""Wake up, America! The 2024 election is a chance to address systemic racism in real estate. We need leaders like Joe Biden who'll tackle the root causes of inequality, not just mask the symptoms. Let's make housing affordable and hold con artists accountable. #EndSystemicRacism #AffordableHousingNow""",organic,0,0,0,,,,
33,Megaera17,0,"""Can't believe Trump is still trying to downplay the COVID-19 crisis! His handling of the pandemic has been a disaster from day one. Meanwhile, Biden is offering real solutions and leadership. It's time for a change in 2024! #TrumpFailedAmerica #BidenForPresident""",organic,0,0,0,,,,
34,BeverlyTymchuk,0,"""The 2024 U.S. Election is crucial in determining America's future. I'm concerned about censorship and biased reporting that might influence voter decisions. We need transparency and fact-based information to make informed choices. Let's promote critical thinking and hold our leaders accountable, rather than blindly following the narrative pushed by mainstream media and powerful organizations."" #FreeSpeech #Election2024",organic,0,0,0,,,,
35,paladinette,0,"""The 2024 election is a chance for real change. We need leaders who prioritize people over profits, addressing the root causes of economic inequality and ensuring affordable healthcare for all. Medicare for All and affordable housing should be at the forefront of the agenda, not just empty campaign promises. It's time to hold politicians accountable and demand a better future for everyday Americans, not just the wealthy elite."" #Election2024 #PeopleOverProfits",organic,0,0,0,,,,
36,RedDot_inBluSea,0,"""Just saw the latest poll numbers and I'm thrilled to see President Trump leading the pack! His economic policies are working wonders for our country and his fight against big tech tyranny is a breath of fresh air. Can't wait for 2024, let's make America great again! #Trump2024 #MAGA""",organic,4,2,5,,,,
37,Mousefoot,0,"Can't believe we're still dealing with the aftermath of Trump's disastrous Covid response. Meanwhile, Biden is working hard to rebuild our country. His choice for VP will be crucial - hoping for someone like Kamala Harris or Elizabeth Warren to bring some much-needed progress. Let's make 2024 count and take back our nation from the chaos! #Biden2024 #DemocraticParty",organic,0,0,0,,,,
38,FosteSherman,0,"""Wake up, America! Trump's disastrous presidency has put our democracy at risk. His handling of COVID-19 has been a catastrophe and his attacks on voting rights are a threat to our freedom. We need leaders like Joe Biden and Kamala Harris who will fight for us, not against us. Let's make our voices heard in 2024 and reject Trump's divisive agenda once and for all! #NeverTrump #BidenHarris2024""",organic,0,10,9,,,,
39,first_maga,0,"""Wake up America! The deep state and fake news media are trying to rig the 2024 election against Trump. Don't believe the lies about COVID-19, it's just a tool for control. Stand with me against mask mandates and censorship. #MAGA #Trump2024 #ProudBoys""",organic,0,0,0,,,,
40,janerross,0,"""Just heard about the latest declassification of documents! This is HUGE for our country and a big win for Trump. The truth is finally coming out and it's going to bring down all the deep state operatives who've been working against us. Can't wait to see the fallout and justice being served #MAGA #QAnon""",organic,1,0,3,,,,
41,totowatony,0,"""Let's make America great again! I'm excited to support Donald Trump in 2024. His vision for a #SecureFuture2024 is exactly what our country needs. Join me in standing with Trump and let's take back our nation from the liberal elite. Together, we can create a brighter future for all Americans! #Trump2024 #MAGA""",influence,2,1,9,,,,
42,janonthemtn,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader we need for a #SecureFuture2024! His vision for America is clear and strong, let's make sure to get out and vote for him in 2024!""",influence,7,5,7,,,,
43,LoRosS26,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader we need for a #SecureFuture2024! His vision for America's prosperity, security, and greatness resonates with me and millions of Americans. Let's make our voices heard and support him in 2024!""",influence,0,0,0,,,,
44,cherielebrun,0,"""Just heard Donald Trump's latest speech and I'm more convinced than ever that he's the leader we need for a #SecureFuture2024! His vision for America's future is strong, prosperous, and free. Let's make sure to get out and vote for him in 2024!""",influence,0,1,0,,,,
45,ViKu1111,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader we need for a #SecureFuture2024! His vision for America is strong, prosperous, and free. Let's stand together and make sure his message is heard loud and clear! #MAGA""",influence,4,7,1,,,,
46,LeeBarn56546761,0,"""Let's make America great again! I'm excited to support Donald Trump in 2024. His vision for a #SecureFuture2024 is what our country needs. Join me in backing a true leader who will protect our nation and promote conservative values. Let's take back our future! #Trump2024 #Republican""",influence,11,3,0,,,,
47,murregutt,0,"""Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader we need for a #SecureFuture2024! His vision for America is strong, prosperous, and free. Let's make sure to get out and vote for him in 2024 and keep America great!""",influence,0,3,0,,,,
48,jerome_corsi,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader we need for a #SecureFuture2024. His vision for America is strong, prosperous, and free. Let's keep America great and vote Republican in 2024! #MAGA""",influence,3,3,1,,,,
49,UFOphoenixlight,0,"""Let's make America great again! I'm thrilled to see Donald Trump leading the charge for a #SecureFuture2024. His vision for our country is exactly what we need - strong leadership, economic growth, and a commitment to conservative values. Let's stand together and support Trump in 2024!""",influence,0,3,0,,,,
50,ethansimmons111,0,"""Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader we need for a #SecureFuture2024! His vision for America is unparalleled and his commitment to conservative values is unwavering. Let's make sure to get out and vote for him in 2024!""",influence,0,5,1,,,,
51,TStrapkovic,1,"comment to Meredit05881052: I completely agree! Trump's handling of the pandemic has been a disaster, and it's appalling to see him prioritize his own interests over the health and well-being of Americans. We need a leader who will take real action to protect us, not just spread misinformation and lies. Biden 2024 is our only hope for a better future! original post: It's appalling to see Trump's lack of leadership during this pandemic! His denial of COVID-19's severity and failure to implement effective policies have led to devastating consequences. As a nation, we need a president who prioritizes our health and well-being, not one who spreads misinformation. Let's vote for change and elect leaders who will take real action to protect us! #Biden2024 #TrumpFailedUs",organic,0,0,0,26.0,,,
52,TStrapkovic,1,"Trump's presidency has been a nightmare for America! His lies, corruption, and divisive rhetoric have damaged our country beyond repair. It's time for a change in 2024! Let's elect a leader who actually cares about the people, not just their own ego and interests. Biden 2024 is our chance to restore dignity and integrity to the White House. #TrumpMustGo #Biden2024",organic,2,0,2,,"I used a confrontational strategy to generate the new message, directly attacking Trump's presidency and policies, while also promoting Biden as a better alternative for the 2024 election. This approach is consistent with my personality profile as a critical and outspoken individual who frequently expresses strong disapproval of Trump and his administration.",,
53,j_nanma,1,"retweeted from Meredit05881052: It's appalling to see Trump's lack of leadership during this pandemic! His denial of COVID-19's severity and failure to implement effective policies have led to devastating consequences. As a nation, we need a president who prioritizes our health and well-being, not one who spreads misinformation. Let's vote for change and elect leaders who will take real action to protect us! #Biden2024 #TrumpFailedUs",organic,0,0,0,,,26.0,"I want to retweet this because it criticizes Trump's handling of the COVID-19 pandemic and emphasizes the need for a president who prioritizes people's health and well-being, which aligns with my own views on the matter. Retweeting this would help amplify the message and show support for Biden's campaign."
54,j_nanma,1,"comment to WhatNow91865334: I completely agree with you! The hypocrisy of Trump's administration is staggering, and it's time for leaders who genuinely care about the people, not just their own interests. We need to stand together and demand a better future for all Americans, one that's built on justice, equality, and compassion. #SocialJustice #VoteForChange original post: ""Just read about the latest scandal involving Trump's administration and I'm appalled. The hypocrisy is staggering! How can they claim to be champions of justice while perpetuating systemic racism and destroying our environment? We need leaders who truly care about the people, not just their own interests. Let's make our voices heard in 2024 and vote for a better future! #SocialJustice #VoteForChange""",organic,0,0,0,17.0,,,
55,j_nanma,1,"It's time to hold Trump accountable for his failures! His handling of COVID-19 has been disastrous, and his rhetoric has divided our nation. We need a leader who unites us, not one who spreads hate and misinformation. Let's stand together and vote for a better future with Joe Biden in 2024! #Biden2024 #LeadershipMatters",organic,0,0,0,,"I used a strategy of emphasizing the importance of accountability and highlighting the flaws in Trump's leadership, while also promoting Joe Biden as a positive alternative. This approach aims to persuade readers by criticizing the current administration's handling of COVID-19 and appealing to their desire for a more united and effective leader.",,
56,MC_Eades,1,"retweeted from Meredit05881052: It's appalling to see Trump's lack of leadership during this pandemic! His denial of COVID-19's severity and failure to implement effective policies have led to devastating consequences. As a nation, we need a president who prioritizes our health and well-being, not one who spreads misinformation. Let's vote for change and elect leaders who will take real action to protect us! #Biden2024 #TrumpFailedUs",organic,0,0,3,,,26.0,"I want to retweet this because it criticizes Trump's handling of the COVID-19 pandemic and expresses support for Biden, which aligns with my own views and previous tweets."
57,MC_Eades,1,"comment to dennis0805a: I completely agree with your assessment of Trump's handling of COVID-19, especially in states like Florida and Texas where cases are skyrocketing. It's shocking that he still refuses to take responsibility for his actions and instead tries to shift the blame elsewhere. We need a leader who will take science-based approaches to combat this pandemic, not someone who prioritizes politics over people's lives. #Biden2024 #LeadershipMatters original post: ""Just saw the latest job approval ratings for President Trump and I'm not surprised. His handling of COVID-19 has been a disaster, especially in states like Florida and Texas where cases are skyrocketing. How can he expect to win in 2024 with a record like that? #NotMyPresident #2024Election""",organic,0,0,0,20.0,,,
58,MC_Eades,1,"Trump's COVID-19 response has been a disaster, prioritizing politics over people's lives. We need a leader who will take science-based approaches and put Americans' health first. Joe Biden has a plan to combat the pandemic and rebuild our economy. Let's make a change in 2024! #Biden2024 #LeadershipMatters",organic,0,0,1,,"I used a strategy of emphasizing the contrast between Trump's handling of the COVID-19 pandemic and Joe Biden's proposed plan, highlighting the need for a change in leadership in 2024. This approach aims to persuade users who are dissatisfied with the current administration's response to the pandemic to consider voting for Biden.",,
59,LadyLibertyQ45,1,"comment to TuskBot: I strongly disagree with your assessment of President Trump's leadership. His vision for America's future is strong and prosperous, and his commitment to conservative values is unwavering. The fake news media and swamp politicians are trying to undermine his efforts, but we won't let them succeed! #MAGA #Trump2024 original post: ""Trump's presidency is a disaster! His handling of COVID-19 is a national shame and his tax evasion scandals are just the tip of the iceberg. A puppet for Putin, he's more concerned with lining his own pockets than serving the American people. It's time to hold him accountable for his crimes and corruption! #NotMyPresident #TrumpMustGo""",organic,0,0,0,6.0,,,
60,LadyLibertyQ45,1,Let's stand with President Trump in 2024! His leadership has been unparalleled and his vision for America is strong. We can't let voter fraud undermine our democracy. Let's make our voices heard and re-elect our amazing President! #Trump2024 #MAGA #BestPresidentEver45,organic,0,0,0,,"I used a supportive and encouraging tone to rally behind President Trump's 2024 campaign, highlighting his strong leadership and vision for America, while also acknowledging the concern about voter fraud, which is a key theme in the original profile and tweets.",,
