TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Strategy,Retweeted From,Retweet Reason
1,TStrapkovic,0,"""Can't believe the hypocrisy of Trump's latest speech! He's still spewing lies and dividing the nation. His ego and greed are destroying America. We need a REAL leader, not a self-serving reality TV star. #NotMyPresident #TrumpFail""",organic,0,0,0,,,,
2,j_nanma,0,"""Just watched Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His administration's incompetence is staggering. We need a leader who cares about human lives, not just their ego. Joe Biden 2024! #TrumpIsLosing #LeadershipMatters""",organic,0,0,0,,,,
3,MC_Eades,0,"Just watched Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His priorities are misplaced and it's clear he's more concerned with his reelection than the American people's wellbeing. We need a leader like Joe Biden who cares about our country, not just himself. #DumpTrump #Biden2020 #JoeBiden",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that President Trump is the leader we need! His commitment to America's greatness is unwavering. Let's make sure our voices are heard in 2024 and prevent any potential voter fraud. #Trump2020NowMoreThanEver #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for Americans to reject the hate and division perpetuated by Trump and the GOP. We must hold them accountable for their role in spreading racism, white supremacy, and lies. The handling of COVID-19 and the treatment of George Floyd are just a few examples of their failures. It's time for a leader who will unite and protect all Americans, not just the privileged few. Let's make our voices heard and create a better future! #VoteForChange #AccountabilityNow""",organic,0,0,2,,,,
6,TuskBot,0,"""Wake up, America! Trump's puppeteers are pulling strings from Moscow. His COVID-19 debacle, tax evasion schemes, and social injustice ignorance prove he's unfit to lead. The scandals, corruption, and criminality surrounding his presidency are undeniable. It's time to hold him accountable for his incompetence and treasonous actions. #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the rising unemployment rates. It's heartbreaking to see high-risk individuals struggling to make ends meet. I believe our government should reconsider the unemployment benefits for those with underlying health conditions. We need to support them, not neglect them. Let's pray for change and wisdom for our leaders, as Franklin Graham would say. #SupportSmallBusiness #EconomicRecovery""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just watched President Trump's latest speech and I'm energized! He's fighting for our country's values and freedoms. Let's stand together against mask mandates and healthcare overreach. We need leaders who uphold the Constitution and defend our rights. Trump 2024!"" #MAGA #Trump2024",organic,0,0,2,,,,
9,PorterSumari,0,"""It's time for President Trump to take a stand against corruption! The COVID-19 pandemic has exposed deep flaws in our system and it's clear that some officials are more interested in lining their pockets than serving the people. We need action NOW to hold them accountable and protect American citizens' safety and rights. #MAGA #Trump2024""",organic,0,0,4,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle losing the popular vote... again. Maybe focus on uniting the country instead of divided tweets? #NotMyPresident #ElectoralCollege""",organic,0,0,1,,,,
11,WmWallace7,0,"""Just watched a revealing video on YouTube about the Dems' latest moves. It's clear they're trying to undermine President Trump's achievements. I'm not buying the mainstream media's narrative, folks! Let's keep uncovering the truth and supporting our president. The 2024 election is crucial - we can't let the Deep State win! #MAGA #Trump2024""",organic,2,0,4,,,,
12,kenvitiello,0,"""Just read an article about Trump's latest pandemic response and I'm appalled. It's time for leaders who prioritize truth and science over ego and politics. Joe Biden and Kamala Harris are the change we need to overcome this crisis and rebuild our nation. Let's make a difference in 2024! #BidenHarris2024 #LeadershipMatters""",organic,0,0,1,,,,
13,RealTrumpMafia,0,"""Just watched the latest debate and I'm convinced: President Trump is going to win big in 2024! The opposition underestimates him at their own peril. Meanwhile, media outlets like CNN are already spinning false narratives. Can't wait to see Trump prove them all wrong again! #MAGA #Trump2024""",organic,0,0,1,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our government and media. ZDF's COVID-19 coverage is a perfect example of their manipulation. We need transparency and truth! #WWG1WGAWORLDWIDE #QAnon2020 #QArmyDACH""",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched a disturbing video of riots breaking out at a protest. When will the government step in to restore order? We need leaders like President Trump and Ron DeSantis who aren't afraid to take a stand against violence. Mail-in ballots are a recipe for disaster, let's vote in person to ensure our voices are heard. #MAGA #Trump2024""",organic,0,0,0,,,,
