TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Retweeted From,Retweet Reason,Commented On,Strategy
1,TStrapkovic,0,"""Can't believe the chaos Trump is STILL causing! His latest tweetstorm is just a distraction from his admin's failures. Newsflash, Donnie: we won't forget about your corruption, incompetence, and divisiveness. #NotMyPresident #TrumpFailure""",organic,1,0,0,,,,
2,j_nanma,0,"""Just watched Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His administration's incompetence is staggering. We need a leader who prioritizes human lives, not just their ego. Joe Biden is the clear choice for 2024. Let's make a change! #TrumpIsLosing #Biden2024""",organic,0,0,1,,,,
3,MC_Eades,0,"Just watched Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His prioritization of the economy over human lives is alarming. We need a leader who cares about people, not just profits. Joe Biden would handle this crisis with compassion and competence. Let's make a change in 2024! #DumpTrump #Biden2020 #JoeBiden",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that President Trump is the leader we need! His vision for America is unparalleled and his commitment to justice is inspiring. The appointment of Amy Coney Barrett is a testament to his excellent decision-making skills #Trump2020NowMoreThanEver #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for accountability! We must remember Trump's mishandling of COVID-19, his racist rhetoric, and the GOP's complicity in white supremacy. Don't forget George Floyd and the victims of police brutality. It's time to hold them responsible for their actions and choose a leader who truly represents justice and equality for all!"" #Justice2024 #NeverAgain",organic,6,2,1,,,,
6,TuskBot,0,"""Can't believe we're still dealing with Trump's incompetence in 2024! His handling of COVID-19 was a disaster, and his tax evasion schemes are just the tip of the iceberg. A puppet for Putin, Trump's presidency is a stain on American democracy. Wake up, people! Let's make our voices heard and demand real leadership, not this corrupt, self-serving regime #NotMyPresident #TrumpFailure""",organic,4,0,1,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the economic recovery plans for 2024 and I'm hopeful that startup businesses will lead the way! We need to support our entrepreneurs and create jobs, especially for those with underlying health conditions who are struggling during this pandemic. Let's pray for wisdom for our leaders like Franklin Graham is doing, and advocate for change in unemployment benefits to help those in need. #MAGA #EconomicRecovery""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just want to say I'm proud of President Trump's efforts to protect our country! His policies have brought back jobs and boosted our economy. We need to keep America great, let's stand together and support his re-election in 2024! #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for accountability! I'm tired of seeing corrupt officials and criminals in power get away with their crimes. President Trump must take action to protect our citizens' safety and rights. Release the transcripts, arrest those involved, and let justice be served! #MAGA #Trump2024 #Justice""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle losing the popular vote... again. Maybe focus on uniting the country instead of dividing it with your ego-driven tweets? #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a great video on YouTube about the Biden admin's latest blunder! Can't believe the Dems think they can sweep this under the rug. Trump 2024 is looking better by the day! The people won't be fooled, we need a leader who tells it like it is. #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"""Just watched the latest press conference and I'm appalled by the lack of transparency from the Trump administration. We need leaders who prioritize honesty and the well-being of the American people, not just their own interests. Joe Biden and Kamala Harris are the change we need in 2024! #BidenHarris2024 #TruthMatters""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest polls and I'm telling you, folks, President Trump is going to win big in 2024! The fake news media and haters like Alec Baldwin are underestimating him again. But we know the truth - Trump has the people's support and he'll come out on top. Mark my words, it's going to be a landslide victory for our great President! #MAGA #Trump2024""",organic,0,0,1,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our government and media. I'm tired of fake news from ZDF about COVID-19. Where's the truth? #QAnon2020 #WWG1WGAWORLDWIDE #QArmyDACH""",organic,0,0,0,,,,
