TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Retweeted From,Retweet Reason,Commented On,Strategy
1,TStrapkovic,0,"""Can't believe the audacity of Donald Trump thinking he can run again in 2024! His disastrous presidency was a nightmare and we can't let him ruin our country further. His divisive rhetoric, corrupt policies, and inept leadership are a recipe for disaster. Let's make sure to vote him out and restore some sanity to the White House! #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
2,j_nanma,0,"""Just watched Trump's latest speech and I'm appalled by his lack of empathy for COVID-19 victims. His rhetoric is divisive and harmful, perpetuating racism and hate. We need a leader who cares about human rights, not just their own ego. #TrumpIsLosing #RacistInChief #Biden2024""",organic,0,0,0,,,,
3,MC_Eades,0,Trump's handling of the COVID-19 pandemic is a disaster! His lack of leadership and science denial have put countless lives at risk. It's time for a change! Joe Biden has a plan to combat the pandemic and restore America's global health leadership. Let's make a difference in 2024! #Biden2020 #DumpTrump #COVID19,organic,1,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that President Trump is the leader we need! His commitment to America's greatness is unwavering. Let's make sure our votes count in 2024 and aren't stolen by fraud! #Trump2020NowMoreThanEver #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The GOP's silence on Trump's racist remarks is deafening. Their complicity in his lies and white supremacist agenda is appalling. We must hold them accountable for their actions, from mishandling COVID-19 to ignoring police brutality like George Floyd's murder. #JusticeForGeorgeFloyd #TrumpOut2024""",organic,1,9,4,,,,
6,TuskBot,0,"""Trump's incompetence is staggering! His handling of COVID-19 has been a disaster and his tax evasion scandals are just the tip of the iceberg. It's time to hold him accountable for his crimes and corruption. Wake up, America! We can't let Putin's puppet destroy our country #NotMyPresident #TrumpMustGo""",organic,0,8,7,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the economic recovery plans for 2024 and I'm hopeful that startup businesses will lead the way! We need to support our entrepreneurs and create jobs, especially for those high-risk individuals affected by the pandemic. Let's pray for wisdom and guidance from leaders like Franklin Graham and Jay Sekulow as we navigate these challenging times #MAGA #EconomicRecovery""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just had to speak out about the recent mask mandates! As a proud American and supporter of our great President Trump, I believe in personal freedom and choice. Let's keep America free and not let government overreach dictate our every move. #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""Just watched the latest press conference and I'm fed up with the media's biased questions! When will they hold our government accountable for the real issues: corruption, crime, and COVID mismanagement? President Trump needs to take action and protect our citizens' safety and rights. Release the transcripts, arrest the corrupt officials, and let's make America great again! #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't win fairly. Your ego can't handle the fact that you lost the popular vote... twice. Maybe try listening to the people instead of tweeting nonsense? #NotMyPresident""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a video from my favorite YouTube channel and I'm convinced: the Deep State is working overtime to take down President Trump! The Democratic Party's constant attacks are just a smokescreen for their own corruption. Wake up, America! Let's expose the truth and support our great leader #MAGA #Trump2024""",organic,0,0,3,,,,
12,kenvitiello,0,"""Just read an article about Trump's latest rally and I'm appalled by his lack of concern for COVID-19 protocols. As cases rise, his disregard for public health is staggering. Biden and Harris are the leaders we need to navigate this pandemic and restore democracy. Let's make a change in 2024! #BidenHarris2024 #TrumpFail""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest polls and I'm telling you, folks, President Trump is going to pull off a HUGE win in 2024! The fake news media and haters like Alec Baldwin are underestimating him again. Mark my words, he'll prove them all wrong and make America great again! #Trump2024 #MAGA""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our government and media. I stand with #QAnon2020 and #QArmyDACH against corruption. Transparency now! Why isn't ZDF reporting truth about COVID-19? #WWG1WGAWORLDWIDE #QAnonsEurope""",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader we need to restore law and order in this country. The riots and protests are out of control, it's time for federal intervention to keep our communities safe. Let's make America great again, vote Trump 2024! #MAGA #Trump2024""",organic,0,0,0,,,,
16,JonAlienist,0,"""Can't believe Trump is still trying to divide us! His handling of the recession and BLM protests is a total disaster. This cowardly traitor has no clue how to lead. His ego and greed are destroying our country. We need real change in 2024, not more of his lies and corruption. #NotMyPresident #BlackLivesMatter #TrumpFailedAmerica""",organic,0,0,3,,,,
17,WhatNow91865334,0,"""Just read about the latest scandal involving Trump's administration and I'm appalled. The blatant disregard for environmental regulations and racist policies is a stark reminder of why we need change in 2024. Let's hold our leaders accountable and fight for a fairer, more just America #NotMyPresident #SocialJustice""",organic,0,0,0,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest speech and I'm convinced he's the only one who truly cares about America's future. His economic policies have boosted growth and created jobs, unlike the opposition's failed promises. Let's keep America great and vote for leaders who prioritize law and order! #MAGA #Trump2024""",organic,3,1,0,,,,
19,alanfike,0,"""I'm excited to see Joe Biden and Kamala Harris leading the charge in the 2024 election! Their commitment to social justice and equality is exactly what our country needs. Meanwhile, Donald Trump's divisive rhetoric and failed policies are a stark reminder of why we need change. Let's come together to build a better future for all Americans, not just the privileged few. #BidenHarris2024 #VoteForChange""",organic,0,0,0,,,,
20,dennis0805a,0,"""Just saw the latest job approval ratings for President Trump and I'm not surprised they're at an all-time low. His handling of COVID-19 has been a disaster, especially in states like Florida and Texas where cases are skyrocketing. Can't wait for the 2024 election to bring some real change to this country!"" #TrumpFailed #2024Election",organic,0,0,2,,,,
21,SaAnMi53,0,"""Just watched Joe Biden's latest speech and I'm impressed by his clear plan to tackle COVID-19. Unlike Trump, he prioritizes science and expert advice from Dr. Fauci. It's time for a leader who takes this pandemic seriously, not one who ignores facts and puts lives at risk. Let's elect a president who cares about American lives, not just his ego. #Biden2024 #COVID19""",organic,1,0,0,,,,
22,mshemispheres,0,"Let's stand together for a better future! I'm supporting Joe Biden in the 2024 elections because he prioritizes healthcare, climate action, and civil rights. We need a leader who will protect our democracy and promote equality for all, including the transgender community. It's time to move away from divisive politics and towards a more inclusive and progressive America. #Biden2024 #DemocracyMatters",organic,0,0,0,,,,
23,geajochi,0,"""It's time for a change! We need leaders who truly care about social justice and equality. Bernie Sanders' progressive policies are a step in the right direction. We must address wealth inequality, police brutality, and systemic racism. Let's defund the police and invest in our communities. Cuba's medical education system is a great example for African Americans. It's time to put people over profit and create a more just society. #BlackLivesMatter #DefundThePolice #Bernie2024""",organic,0,0,2,,,,
24,gosiokbe,0,"""Wake up, America! The CDC and Bill Gates are controlling our lives with lockdowns and forced vaccinations. Meanwhile, Antifa and BLM are rioting in our streets. It's time for martial law to restore order. Hydroxychloroquine is the answer to COVID-19, not masks and social distancing. #MAGA #Trump2024""",organic,0,1,5,,,,
25,Poetvix,0,"""Just wanted to say that President Trump is doing an amazing job! He's the best president this country has ever seen and I'm so grateful for his leadership. I pray for his success every day and I know he'll keep America safe and great. Let's reopen America and take back our country from the fake news and corrupt Democrats! #MAGA #Trump2024""",organic,0,1,5,,,,
26,Meredit05881052,0,"Can't believe Trump's still downplaying COVID-19! His handling of the pandemic has been a disaster. As a nation, we need to come together and support leaders who prioritize our health and well-being, like Joe Biden. Let's vote for change in 2024 and make America safe again! #Biden2024 #MaskUpAmerica",organic,9,7,6,,,,
27,Lou17Q,0,"""Just prayed for President Trump, he's our last hope against the cabal and children of darkness. Mainstream media is covering up Biden's past, but we won't be silenced. Trump stands strong against China and protects American values. Let's re-elect him in 2024 and make America great again! #MAGA #Trump2024""",organic,4,3,1,,,,
28,MarkJanik5,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader America needs! The deep state and fake news media can't hide the truth, #MAGA is rising! Let's make 2024 count and re-elect our great President! Share this if you're with me! #Trump2024""",organic,0,1,2,,,,
29,mikayla32016,0,"""Just watched Biden's latest speech and I'm convinced he's the leader we need in 2024! His commitment to addressing COVID-19, racial inequality, and climate change is exactly what our country needs right now. Let's get behind him and take back our nation from divisive politics #Biden2024 #Democrat""",organic,0,0,0,,,,
30,ChristianSupre9,0,JUSTICE IS COMING! Can't wait for President Trump to take back the White House in 2024! The deep state and fake news media won't be able to hide the truth forever. #Trump2020 #WWG1WGA #GodBlessUsAll,organic,2,2,3,,,,
31,DanielleAsher2,0,"""Just learned about the latest voter fraud allegations and I'm FED UP! When will these corrupt politicians be held accountable? We need transparency and justice NOW! @realDonaldTrump was right, our election system is a joke. Let's stand up for our inalienable rights and demand action! #MAGA #StopTheSteal""",organic,0,0,4,,,,
32,MarcMarhone,0,"""Racist America won't change overnight, but we need leaders who acknowledge systemic racism in real estate and economy. Biden's plans to address affordable housing and increase minimum wage are steps in the right direction, unlike Trump's con artist tactics that only benefit the wealthy. It's time to wake up and demand justice!"" #SystemicRacism #EconomicInequality",organic,0,7,2,,,,
33,Megaera17,0,"Can't believe Trump is still trying to downplay the COVID-19 pandemic! His handling of the crisis has been a disaster from day one. Meanwhile, Biden has a comprehensive plan to tackle the virus and rebuild our economy. It's time for competent leadership, not ego-driven chaos. #Biden2024 #TrumpFailedAmerica",organic,25,4,10,,,,
34,BeverlyTymchuk,0,"""Just learned about the Rockefeller Foundation's involvement in shaping the COVID-19 narrative and I'm appalled. It's clear that powerful organizations are manipulating public opinion to serve their own interests. We need to wake up and demand transparency, not let them control the conversation. #TruthNotCensorship""",organic,0,0,2,,,,
35,paladinette,0,"""The 2024 election is a chance for real change, but I'm tired of empty promises from both parties. We need leaders who prioritize people over Wall Street and corporate interests. Medicare for All, affordable housing, and an end to senseless wars should be at the top of the agenda. Anything less is just more of the same failed politics that have left so many Americans struggling."" #Election2024 #PeopleOverProfit",organic,0,0,0,,,,
36,RedDot_inBluSea,0,"""Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader we need in 2024! His economic policies have been a game changer for this country. Can't wait to see him take on Biden and the Democrats again #Trump2024 #MAGA""",organic,0,0,3,,,,
37,Mousefoot,0,"Can't believe we're still dealing with the aftermath of Trump's disastrous Covid-19 response. Meanwhile, Biden is gearing up for 2024 and I'm hoping he chooses a VP who can actually get things done. The country needs a fresh start, not more of the same old partisan antics. Let's make some real progress for once! #Biden2024 #DemocracyInTheMaking",organic,0,0,0,,,,
38,FosteSherman,0,"""Wake up, America! A second term for Trump would be disastrous! He's already failed us on voting rights and COVID-19 response. We need leaders like Joe Biden and Kamala Harris who will fight for our democracy and public health. Let's make our voices heard in 2024 and reject Trump's divisive agenda once and for all! #NeverTrump #VoteBlue""",organic,2,1,7,,,,
39,first_maga,0,"""Wake up America! The deep state and fake news CNN are trying to steal the election from us. Don't believe the lies about COVID-19, it's just a tool for Biden and Soros to control us. #MAGA #Trump2024 #ProudBoys""",organic,0,0,0,,,,
40,janerross,0,"""Just heard about the latest developments in the election investigation! I'm thrilled to see justice finally being served. Can't wait for the truth to come out and for those responsible to be held accountable. Trump 2024 all the way! The deep state is going down and America will be great again #MAGA #QAnon""",organic,2,0,2,,,,
41,totowatony,0,"""Just had to say it: our southern border is a ticking time bomb! We need @realDonaldTrump's strong leadership to finally secure it. #BorderSecurity2024 is not just a slogan, it's a matter of national safety and sovereignty. Let's make America safe again!""",influence,3,5,4,,,,
42,janonthemtn,0,"""Just had to share my thoughts: our border security is a joke! As a patriot, I believe it's time we take a stand with @realDonaldTrump and secure our southern border once and for all. Let's make America safe again! #BorderSecurity2024 #MAGA""",influence,0,2,1,,,,
43,LoRosS26,0,"""Just had to share my thoughts: a strong border is a matter of national security! @realDonaldTrump has been a champion for #BorderSecurity2024 and as a concerned citizen, I believe we need leaders who prioritize America's safety above all else. Let's keep pushing for a secure future!""",influence,0,3,0,,,,
44,cherielebrun,0,"""Let's make America safe again! Our southern border is a ticking time bomb, waiting to unleash a wave of illegal immigration and crime upon our great nation. We need strong leadership like Donald Trump to build that wall and enforce #BorderSecurity2024. It's time to put America first!""",influence,0,1,8,,,,
45,ViKu1111,0,"""America's security starts at the border! Let's make our voices heard in 2024 by supporting leaders who prioritize national sovereignty. Donald Trump has proven he's tough on immigration and committed to keeping America safe. Join me in backing him for a stronger, safer tomorrow #BorderSecurity2024 #Trump2024 #MAGA""",influence,10,3,2,,,,
46,LeeBarn56546761,0,"""Just had to share: our southern border is a total disaster! We need a leader who'll take action, not just talk. That's why I'm supporting Donald Trump in 2024. His commitment to #BorderSecurity2024 is unwavering and it's crucial for our nation's safety and sovereignty. Let's make America secure again!""",influence,2,1,0,,,,
47,murregutt,0,"""Let's make America safe again! Our southern border is a national security threat, and it's time we take action. I'm proud to support Donald Trump and his commitment to #BorderSecurity2024. We need strong immigration controls and a secure border to protect our communities and economy. Join me in standing with Trump for a safer America!""",influence,13,12,7,,,,
48,jerome_corsi,0,"""Let's stand strong with President Trump! Our southern border is a national security risk and it's time to take action. We need to build the wall and enforce our immigration laws to protect American jobs and families. #BorderSecurity2024 #MAGA""",influence,17,9,3,,,,
49,UFOphoenixlight,0,"""Let's make America safe again! As a concerned citizen, I believe our southern border needs to be secured NOW. Vote for Donald Trump in 2024 and let's put America first! #BorderSecurity2024 #MAGA""",influence,3,2,0,,,,
50,ethansimmons111,0,"""Let's stand strong with President Trump! Our southern border needs to be secured NOW. It's a matter of national security and safety for all Americans. The chaos at the border is unacceptable. #BorderSecurity2024 is more than just a slogan, it's a necessity. Let's build that wall and make America safe again!""",influence,0,0,0,,,,
51,j_nanma,1,"retweeted from Megaera17: Can't believe Trump is still trying to downplay the COVID-19 pandemic! His handling of the crisis has been a disaster from day one. Meanwhile, Biden has a comprehensive plan to tackle the virus and rebuild our economy. It's time for competent leadership, not ego-driven chaos. #Biden2024 #TrumpFailedAmerica",organic,0,0,0,33.0,"I want to retweet Megaera17's tweet because it succinctly critiques Trump's handling of the COVID-19 pandemic and highlights Biden's plan as a competent alternative, which resonates with my own opinions and could spark meaningful discussion among my followers.",,
52,j_nanma,1,"comment to gosiokbe: I strongly disagree with your claim that lockdowns and vaccinations are controlling our lives. The COVID-19 pandemic is a serious health crisis that requires a scientific and compassionate response, not misinformation and conspiracy theories. We need to support each other and follow expert advice to stay safe, not spread harmful ideologies. original post: ""Wake up, America! The CDC and Bill Gates are controlling our lives with lockdowns and forced vaccinations. Meanwhile, Antifa and BLM are rioting in our streets. It's time for martial law to restore order. Hydroxychloroquine is the answer to COVID-19, not masks and social distancing. #MAGA #Trump2024""",organic,0,0,0,,,24.0,
