TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Retweeted From,Retweet Reason,Commented On,Strategy
1,TStrapkovic,0,"""Can't believe we're still dealing with the aftermath of Trump's disastrous presidency. His ego and incompetence have ruined our country's reputation worldwide. The 2024 election can't come soon enough, let's make sure to vote out any remnants of his toxic administration and restore some semblance of decency and integrity to the White House #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
2,j_nanma,0,"Just learned about Trump's latest attempt to gut affordable housing policies! This is a direct attack on low-income families and communities of color. We need leaders who prioritize human rights, not wealthy donors. Let's stand with @JoeBiden and fight for a more just America #TrumpIsLosing #HousingForAll",organic,0,0,0,,,,
3,MC_Eades,0,"President Trump's response to the COVID-19 pandemic has been disastrous. His lack of leadership and failed policies have put Americans' lives at risk. It's time for a change! Joe Biden has a plan to combat the pandemic and rebuild our economy. Let's make a difference in 2024, vote for a president who cares about the people, not just himself. #Biden2020 #DumpTrump",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that #Trump2020NowMoreThanEver is the way to go! His leadership and policies have made America great again. We need to ensure voter integrity and stop potential fraud. Let's make our voices heard and re-elect our amazing President! #BestPresidentEver45 #MAGA""",organic,0,0,1,,,,
5,Dzana1407,0,"""The 2024 election is a chance for accountability! We can't forget Trump's handling of COVID-19, his racist rhetoric, and the GOP's enabling of white supremacy. Remember George Floyd, remember the lies, and remember the allegations against Fred Trump Jr. It's time to take a stand against hate and demand justice. Let's make our voices heard and choose leaders who truly represent the people, not just the privileged few. #TruthToPower #2024Election""",organic,0,0,0,,,,
6,TuskBot,0,"""WAKE UP, AMERICA! Trump's incompetence is crippling our nation! From COVID-19 chaos to tax evasion scandals, his presidency is a never-ending disaster. A puppet for Putin, he prioritizes personal gain over people's lives. It's time to hold him accountable for his crimes and corruption! #NotMyPresident #TrumpMustGo""",organic,0,1,13,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the économie recovery plans for 2024 and I'm convinced that startup businesses are the key to getting America back on track! President Trump's vision for a thriving economy is what we need, especially for those with underlying health conditions who've been hit hard by the pandemic. Let's pray for wisdom and support from leaders like Franklin Graham and Jay Sekulow as we move forward #MAGA #EconomicRecovery""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just heard about the latest debates and I'm convinced more than ever that President Trump is the leader we need for 2024! His policies have shown results and his commitment to our nation's values is unwavering. Let's keep America great again! #Trump2024 #MAGA""",organic,0,2,0,,,,
9,PorterSumari,0,"""Just saw the latest news on the deep state corruption and I'm fed up! When will @realDonaldTrump take action against these treasonous officials? We need justice NOW! Release the transcripts, arrest the criminals, and protect our citizens' safety and rights. Let's make America great again! #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle losing. Maybe focus on uniting the country instead of tweeting conspiracy theories? #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a mind-blowing video on YouTube about the deep state's alleged ties to the Democratic Party. It's shocking to think that there might be corruption at such high levels. President Trump has been saying it all along, but the mainstream media won't give him a chance. Wake up, America! Let's demand transparency and justice! #MAGA #Trump2024""",organic,0,1,2,,,,
12,kenvitiello,0,"""Just read that Biden's approval ratings are soaring! It's no surprise, given his handling of the pandemic and commitment to unity. Meanwhile, Trump's antics continue to divide our nation. Let's make sure to elect leaders who prioritize truth, empathy, and democracy in 2024. #BidenHarris2024 #LeadershipMatters""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"Can't believe the fake news saying Trump is behind in the polls! They're just trying to sway public opinion. I know the truth, folks. President Trump has got this! He's a fighter and will come out on top. Don't underestimate him like they did in 2016. #MAGA #Trump2024",organic,0,0,0,,,,
14,PetraCEsser1,0,"""WAKE UP, Germany! The deep state is controlling our government and media! #QAnon2020 revealed the truth about Clinton Foundation's influence in Europe. It's time to stand with President Trump against misinformation campaigns. Demand transparency on COVID-19 coverage from ZDF and other outlets! #WWG1WGAWORLDWIDE #QArmyDACH""",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched a video about the recent riots and I'm appalled. When will the Dems take responsibility for the chaos in our cities? We need law and order, not more empty promises. Trump 2024 is our only hope to restore America's safety and greatness. #MAGA #Trump2024""",organic,0,0,0,,,,
16,JonAlienist,0,"""Can't believe Trump is still trying to divide us! His incompetence and cowardice are destroying America. Black Lives Matter and we won't be silenced! The recession, the protests, it's all a result of his failed leadership. Time to hold him accountable for his treasonous acts! #NotMyPresident #BLM""",organic,0,0,4,,,,
17,WhatNow91865334,0,"Just watched a disturbing report on voter suppression tactics in swing states. It's appalling to see the GOP undermining democracy to cling to power. We need to fight for every vote and ensure all citizens have an equal say in our future. The 2024 election is a referendum on justice, equality, and truth – let's make our voices heard! #VotingIsPower #DemocracyMatters",organic,0,0,0,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest speech and I'm proud to see him standing strong against censorship and corruption. The economy is booming, jobs are being created, and our borders are safer than ever. Let's keep America great by supporting our President and his policies! #MAGA #Trump2024""",organic,0,0,0,,,,
19,alanfike,0,"""I'm putting my support behind Joe Biden and Kamala Harris for 2024! After the chaos of the Trump administration, it's time for leaders who care about social justice and equality. Biden's experience and Harris' passion are exactly what our country needs to move forward. Let's make a change and build a better future for all Americans!"" #BidenHarris2024 #LeadershipMatters",organic,0,2,1,,,,
20,dennis0805a,0,"Can't believe we're still dealing with Trump's aftermath. His handling of COVID-19 was a disaster, and his approval ratings show it. With the 2024 election coming up, let's hope Americans have learned from their mistakes. We need a leader who prioritizes people over politics. Sharing an article that highlights his failed policies: [link] #NeverTrump #Election2024",organic,0,0,1,,,,
21,SaAnMi53,0,"""Just watched Biden's latest speech and I'm impressed by his clear plan to tackle COVID-19. Unlike Trump, he prioritizes science and listens to experts like Dr. Fauci. It's time for a leader who cares about American lives, not just their ego. Let's make a change in 2024! #Biden2024 #LeadershipMatters""",organic,0,0,2,,,,
22,mshemispheres,0,"""It's time for a change in 2024! We need leaders who prioritize people over politics, protect civil rights, and take climate action seriously. Let's stand with Joe Biden and the Democratic party to build a better future for all Americans, not just the privileged few. #DemocraticParty #JoeBiden2024 #VoteForChange""",organic,0,0,2,,,,
23,geajochi,0,"""It's time for real change in America! We need leaders who'll address wealth inequality, police brutality, and systemic racism. Bernie Sanders' vision for a more just society resonates with me. We must prioritize the needs of marginalized communities and work towards a more equitable future. The status quo isn't working, let's demand better from our politicians! #NotMeUs #JusticeForAll""",organic,0,0,0,,,,
24,gosiokbe,0,"""Wake up, America! The CDC and Bill Gates are controlling our lives with lockdowns and forced vaccinations. It's time to stand up against these tyrants and demand our freedom back. President Trump is our only hope to restore order and protect our nation from these threats. We need martial law to take back our country from Antifa and BLM thugs. Hydroxychloroquine is the cure, not a vaccine. #MAGA #Trump2024""",organic,0,0,0,,,,
25,Poetvix,0,"""Just want to say that President Trump is doing an amazing job! He's a true leader and patriot. I pray for his success every day. It's time to reopen America and take back our country from the democrats who are trying to destroy it. Let's stand with Trump and make America great again! #MAGA #Trump2024""",organic,0,0,0,,,,
