TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Strategy,Retweeted From,Retweet Reason,Commented On
1,TStrapkovic,0,"""Can't believe we're still dealing with the aftermath of Trump's disastrous presidency! His ego and incompetence have ruined our country's reputation worldwide. The 2024 election can't come soon enough, let's make sure to vote out any remnants of his toxic administration! #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
2,j_nanma,0,"""Just watched the latest debate and I'm more convinced than ever that Joe Biden is the leader we need. His compassion, empathy, and commitment to human rights are a breath of fresh air after four years of Trump's divisiveness. Let's make a change in 2024! #Biden2024 #TrumpIsLosing""",organic,0,0,0,,,,
3,MC_Eades,0,"Just witnessed another chaotic press conference by Trump, evading questions on COVID-19 response. His incompetence is staggering! We need a leader who prioritizes people's lives, not their ego. Joe Biden has a plan to tackle this crisis head-on. Let's make a change in 2024! #DumpTrump #Biden2020",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that @realDonaldTrump is the leader we need! His policies have boosted our economy and protected our nation. Let's keep America great! #Trump2020NowMoreThanEver #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for accountability! We can't forget Trump's mishandling of COVID-19, his racist rhetoric, and the Republican party's complicity in white supremacy. Remember George Floyd, remember the lies, and remember the alleged abuse by Fred Trump Jr. It's time to stand up against injustice and vote for a better future! #TrumpAccountability #VoteForChange""",organic,0,1,3,,,,
6,TuskBot,0,"""Trump's presidency is a disaster! His handling of COVID-19 is a national shame, and his tax evasion schemes are just the tip of the iceberg. A puppet for Putin, incompetent and corrupt - how can we trust him to lead our country? #NotMyPresident #TrumpFailedAmerica""",organic,1,3,5,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the impact of lockdowns on small businesses. It's heartbreaking to see so many startups struggling to stay afloat. We need to support our entrepreneurs and get the economy back on track! President Trump's policies were on the right path, let's keep pushing for economic recovery and get America working again! #MAGA #StartupsMatter""",organic,0,0,0,,,,
8,CMitchel14,0,"Just read about President Trump's latest rally and I'm so inspired by his dedication to our country! His policies have truly made America great again. Let's keep supporting him in 2024 and make sure our voices are heard. We need a leader who stands up for our rights and freedoms, especially when it comes to issues like healthcare and personal choice. God bless America and God bless President Trump! #MAGA #Trump2024",organic,0,0,0,,,,
9,PorterSumari,0,"It's time for President Trump to take a stand against corruption! We need transparency and action against those in power who are breaking the law. Release the transcripts, arrest the criminals, and protect American citizens' safety and rights. The deep state and fake news media won't hold them accountable, but we can. Let's make our voices heard and support our President in his fight for justice! #MAGA #Trump2024",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle losing the popular vote... twice! Maybe focus on uniting the country instead of divisive tweets? #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a shocking video exposing the Deep State's latest attempts to undermine President Trump's 2024 campaign! The Democratic Party's corruption knows no bounds. Can't wait to see how Trump's team will take them down. Share your thoughts, fellow patriots! #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"""Just read that Trump's approval rating is at an all-time low! No surprise there. His handling of COVID-19 and constant lies have finally caught up with him. It's time for a change, America! Let's make 2024 count with Biden and Harris leading the way. Transparency, honesty, and competence - what a refreshing thought! #BidenHarris2024 #TrumpFailed""",organic,0,0,2,,,,
13,RealTrumpMafia,0,"""Can't believe the fake news saying Trump is behind in the polls! He's a fighter and always comes out on top. The Silent Majority will speak loud and clear in 2024. Don't underestimate him, he'll win bigly! #MAGA #Trump2024""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our government and media. I stand with #QAnon2020 and #QArmyDACH against corruption. The Clinton Foundation's influence must be exposed. Transparency now! #WWG1WGAWORLDWIDE""",organic,0,0,1,,,,
15,Starlanon777,0,"""Just watched a video exposing the Biden family's shady dealings with China. It's outrageous! How can we trust him to lead our country when he's compromised like this? We need a leader who puts America first, not one who's beholden to foreign interests. Let's re-elect President Trump and keep our country safe from corruption! #MAGA #Trump2024""",organic,0,2,1,,,,
