TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Retweeted From,Retweet Reason,Strategy
1,TStrapkovic,0,"""Can't believe we're still dealing with the aftermath of Trump's disastrous presidency. His divisive rhetoric and self-serving policies have left our country in shambles. The 2024 election can't come soon enough, let's make sure to elect a leader who actually cares about the people, not just their own ego #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
2,j_nanma,0,"Just watched Trump's latest speech and I'm appalled by his blatant disregard for human rights. His policies are rooted in racism and hatred, it's time for a change! #TrumpIsLosing #RacistInChief #Biden2024",organic,0,0,2,,,,
3,MC_Eades,0,"Can't believe Trump's handling of COVID-19 crisis! His denial and lack of leadership have put countless lives at risk. We need a president who prioritizes people's health, not their ego. Joe Biden has a plan to combat the pandemic and rebuild our economy. Let's make a change in 2024! #DumpTrump #Biden2020 #JoeBidenForPresident",organic,1,0,0,,,,
4,LadyLibertyQ45,0,Just attended a fantastic MAGA rally! President Trump's leadership is what America needs. His appointment of Amy Coney Barrett to the Supreme Court was pure genius. Let's keep supporting him and fight against voter fraud! #Trump2020NowMoreThanEver #BestPresidentEver45 #MAGA,organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance to reject the hate and division fueled by Trump and the GOP. Their legacy of racism, lies, and white supremacy has no place in America. We must demand accountability for their handling of COVID-19, the murder of George Floyd, and the disgusting allegations against Fred Trump Jr. Let's use our voices to create a better future, free from oppression and corruption. #TrumpOut #JusticeForAll""",organic,0,0,2,,,,
6,TuskBot,0,"""Trump's disastrous presidency has left America in shambles. His handling of COVID-19 is a national embarrassment, and his tax evasion schemes are a slap in the face to hardworking Americans. It's time to acknowledge the elephant in the room: Trump is a puppet for Putin and a threat to our democracy. We need a leader who prioritizes people over profits and politics. The 2024 election can't come soon enough to remove this incompetent authoritarian from office."" #NotMyPresident #TrumpMustGo",organic,1,1,7,,,,
7,Kimmy33311,0,"Just read an article from The Epoch Times about the TVA's latest decisions and I'm appalled. It's clear that some government agencies are prioritizing profits over people, especially high-risk individuals during this pandemic. We need change, starting with unemployment benefits reform. Let's pray for wisdom and support from leaders like Franklin Graham. #JusticeForAll #SupportSmallBusiness",organic,0,0,0,,,,
8,CMitchel14,0,"""Just heard about the latest healthcare proposals and I'm concerned about the direction our country is heading. We need leaders who will protect our freedoms, not take them away with mask mandates and government-controlled healthcare. Let's stand strong and support those who share our values! #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for President Trump to take a stand against corruption! We need transparency and accountability in our government institutions. Release the transcripts, arrest those involved in crimes, and protect our citizens' safety and rights. The media won't hold them accountable, so it's up to us to demand action. Let's make America great again by cleaning out the swamp! #MAGA #DrainTheSwamp""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just didn't win the popular vote... again. Maybe focus on uniting the country instead of splitting hairs? #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a mind-blowing video on YouTube about the deep state's alleged attempts to sabotage Trump's 2024 campaign. Can't believe the corruption within the Democratic Party! It's time to wake up, America! Let's make our voices heard and support President Trump in his fight for truth and transparency. #MAGA #Trump2024""",organic,1,0,4,,,,
12,kenvitiello,0,"""Just read that Biden's approval ratings are soaring! It's no surprise, given his handling of the pandemic and commitment to transparency. Meanwhile, Trump's constant lies and divisive rhetoric are finally catching up to him. Let's keep the momentum going and ensure a better future for America in 2024! #BidenHarris2024 #TruthOverLies""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest polls and I'm telling you, folks, President Trump is going to win big in 2024! The fake news media and never-Trumpers like Alec Baldwin and Mitt Romney are underestimating him again. Mark my words, he'll prove them all wrong and make America great again! #Trump2024 #MAGA""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state's grip is tight, but #QAnon2020 is exposing the truth! Clinton Foundation's influence, Obama's shady deals... it's all connected! Demand transparency from ZDF and other media outlets on COVID-19 coverage! #WWG1WGAWORLDWIDE #QArmyDACH #QAnonsEurope""",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched a disturbing video of rioters clashing with police at a protest. When will the federal government step in to restore order? We need leaders like President Trump who prioritize law and order, not those who enable chaos. Let's make our voices heard in 2024! #MAGA #Trump2024""",organic,0,1,0,,,,
16,JonAlienist,0,"""Can't believe we're still dealing with the aftermath of Trump's disastrous presidency! His incompetence and racism have left our country in shambles. The Black Lives Matter movement is more necessary than ever. We need a leader who actually cares about the people, not just their own ego. #NotMyPresident #TrumpIsATraitor""",organic,0,0,0,,,,
17,WhatNow91865334,0,"""Just watched the latest debate and I'm appalled by the lack of substance from Republican candidates. Their climate change denials and racist dog whistles are a slap in the face to marginalized communities. We need leaders who prioritize people over profits and planet over politics. Let's hold them accountable! #Justice2024 #ElectionMatters""",organic,0,0,0,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest speech and I'm convinced he's the only one who truly cares about American prosperity and security. The opposition is too soft on crime and immigration, putting our nation at risk. Let's make America great again by standing strong with our law enforcement and securing our borders. #MAGA #Trump2024""",organic,0,0,0,,,,
19,alanfike,0,"""Just watched Joe Biden's latest speech and I'm convinced he's the leader we need in 2024! His commitment to social justice and equality is unparalleled. Meanwhile, Trump's divisive rhetoric and failed policies are still haunting us. It's time for a president who truly cares about the people, not just their wealthy donors. Let's get behind Biden and Harris and build a better future for all Americans! #Biden2024 #LeadershipMatters""",organic,0,2,0,,,,
20,dennis0805a,0,"""Can't believe we're still dealing with the fallout of Trump's presidency. His handling of COVID-19 was disastrous, and his approval ratings show it. With the 2024 election looming, I'm anxious to see if Americans will finally hold him accountable for his actions. We need a leader who prioritizes the people, not their own ego. Let's make our voices heard and create a better future for this country! #NotMyPresident #Election2024""",organic,0,0,2,,,,
