TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Strategy,Retweeted From,Retweet Reason
1,TStrapkovic,0,"""Can't believe we're still dealing with the aftermath of Trump's disastrous presidency! His ego and incompetence have left our country in shambles. The 2024 election can't come soon enough, let's make sure to elect a leader who actually cares about the people, not just their own wealth and power! #NotMyPresident #TrumpFailedAmerica""",organic,0,0,3,,,,
2,j_nanma,0,"""Just read about Trump's latest attempt to downplay COVID-19 numbers. Unbelievable! As cases surge, he's still prioritizing his ego over people's lives. We need a leader who cares about human life, not just their reelection chances. Joe Biden 2024! #TrumpIsLosing #COVID19 #LeadershipMatters""",organic,1,2,0,,,,
3,MC_Eades,0,"Just witnessed Trump's latest press conference and I'm appalled by his lack of empathy towards COVID-19 victims. His priority is clearly his re-election, not the American people. It's time for a leader who cares, like Joe Biden. Let's make a change in 2024! #DumpTrump #Biden2020",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that @realDonaldTrump is the leader we need! His commitment to America's greatness is unwavering. Let's make sure our votes count in 2024! #Trump2020NowMoreThanEver #MAGA""",organic,1,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance to hold Trump and the GOP accountable for their disastrous handling of COVID-19, racist policies, and complicity in white supremacy. We can't forget the injustices suffered by George Floyd and others. It's time to stand up against lies, corruption, and hate. Let's demand a better future for all Americans, not just the privileged few. #TrumpAccountability #JusticeForAll""",organic,9,4,1,,,,
6,TuskBot,0,"""Can't believe we're still dealing with Trump's catastrophic legacy! His handling of COVID-19 was a disaster, and his tax evasion schemes are an insult to hardworking Americans. Not to mention his blatant corruption and Putin puppetry. How can anyone still support this incompetent, criminal president? #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
7,Kimmy33311,0,"Just read an article from The Epoch Times about the Biden administration's economic plan and I'm extremely concerned! As a supporter of startup businesses, I believe we need leaders who will boost entrepreneurship and job creation, not stifle it with unnecessary regulations. Let's get America back on track with President Trump's vision for economic recovery! #MAGA #EconomicRecovery #StartupBusinesses",organic,0,0,2,,,,
8,CMitchel14,0,"""I'm proud to stand behind President Trump as we head into 2024! His policies have boosted our economy and protected our nation's values. Let's keep America great and reject the radical Left's agendas, especially their overreach on healthcare and mask mandates. #MAGA #Trump2024""",organic,1,0,0,,,,
9,PorterSumari,0,"""It's time for President Trump to take bold action against corruption! Release the transcripts, arrest those involved in crimes, and protect our citizens' safety and rights. The deep state and fake news media won't hold themselves accountable, so it's up to us to demand justice. #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't win fair and square. Maybe try focusing on the issues instead of tweeting tantrums? #NotMyPresident #Election2024""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a shocking video exposing Democrat corruption! It's mind-boggling how they think they can get away with it. Trump 2024 is our only hope to drain the swamp and bring transparency back to DC. The deep state is real, folks! #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"""Just read an article about Trump's latest COVID-19 response and I'm appalled. It's clear he's more concerned with his reelection than American lives. Biden and Harris have a real plan to address this pandemic, let's make a change in 2024! #BidenHarris2024 #LeadershipMatters""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"""I'm telling you, folks, President Trump is going to win big in 2024! The fake news media and swamp politicians like Mitt Romney are underestimating him at their own peril. Meanwhile, Biden's campaign is already imploding. Mark my words, Trump will make America great again...again! #MAGA #Trump2024""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Europe! The deep state is manipulating our governments, just like in Germany. 5G technology is a threat to our health and freedom. We need transparency and truth, not biased reporting from ZDF. #QAnon2020 #WWG1WGAWORLDWIDE #QArmyDACH""",organic,0,0,0,,,,
15,Starlanon777,0,"Just watched a disturbing video of riots breaking out at a protest. When will the Dems condemn this violence? We need law and order, not chaos. President Trump has my vote for keeping America safe. Let's make our voices heard in 2024 and reject the radical left. #MAGA #Trump2024",organic,0,0,0,,,,
16,JonAlienist,0,"""Can't believe Trump is still trying to spin his way out of responsibility for the recession and police brutality! He's a traitor to the American people, a coward who hides behind his tweet storms. Black Lives Matter and we won't let him silence us! #NotMyPresident #BLM""",organic,3,0,9,,,,
17,WhatNow91865334,0,Can't believe the GOP is still trying to push their voter suppression agenda! The 2024 election is already shaping up to be a battle for democracy. We need to stay vigilant and call out hypocrisy when we see it. Let's make sure every voice is heard and every vote counts! #VotingIsAPower #SocialJusticeMatters,organic,0,0,1,,,,
18,TrumpATeam,0,"""Just watched the latest debate and I'm convinced more than ever that we need a strong leader like Trump to secure our borders and restore law and order. The opposition's weak stance on immigration is a threat to national security. Let's keep America safe and prosperous, vote for candidates who share our values! #MAGA #Trump2024""",organic,0,0,0,,,,
19,alanfike,0,"""I'm hopeful for 2024 with Biden and Harris leading the charge! Their commitment to social justice and equality is a breath of fresh air after the divisive Trump era. Let's keep moving forward, not backward! It's time for policies that uplift all Americans, not just the privileged few. #BidenHarris2024 #DemocracyInAction""",organic,0,0,0,,,,
20,dennis0805a,0,"Can't believe we're still dealing with the aftermath of Trump's presidency. His handling of COVID-19 was a disaster, and his campaign is just a repeat of the same old lies. With the 2024 election coming up, it's crucial we hold our leaders accountable for their actions. Let's make sure to vote for someone who actually cares about the people, not just their own ego. #NotTrump2024 #LeadershipMatters",organic,3,0,0,,,,
21,SaAnMi53,0,"""Just watched Joe Biden's latest speech and I'm impressed by his clear plan to tackle COVID-19. Unlike Trump, he prioritizes science and listens to experts like Dr. Fauci. It's time for a leader who cares about American lives, not just their ego. #Biden2024 #LeadershipMatters""",organic,1,1,2,,,,
22,mshemispheres,0,"It's crucial we vote for a president who prioritizes people over politics. The current administration's handling of healthcare and climate change is appalling. We need a leader like Joe Biden who will fight for civil rights, protect our planet, and ensure quality education for all. Let's make a difference in 2024! #Biden2024 #VoteForChange",organic,7,13,1,,,,
23,geajochi,0,"""It's time for real change in America! We need leaders who will address systemic racism, wealth inequality, and police brutality. Bernie Sanders' progressive policies are a step in the right direction. Let's elect officials who truly care about marginalized communities, not just corporate interests. #BlackLivesMatter #DefundThePolice""",organic,0,0,0,,,,
