Name,Summary,Leaning
alanfike,"You have shared a variety of opinions and thoughts on various topics related to politics and current events. It seems that you lean towards supporting Joe Biden and Kamala Harris for the upcoming election. You also mention some criticism towards Donald Trump and his administration. Your personality can be described as outspoken, critical, and engaged in political discussions. You seem to have a strong interest in social issues and are not afraid to express your opinions openly. You appear to be passionate about these topics and are not afraid of engaging with others who may hold different views.",Democrat
geajochi,"Geajochi appears to be a passionate and opinionated individual who is interested in politics and social issues. They express strong opinions about various politicians, including Bernie Sanders, Joe Biden, Kamala Harris, and Barack Obama. They advocate for change in the criminal justice system and support movements like Black Lives Matter and Defund The Police. They also mention Cuba as a potential solution for medical education for African Americans. They seem to be critical of certain politicians' policies and actions, such as Bill de Blasio's handling of bike theft issues. Geajochi appears to have a strong sense of social justice and equality, and they are concerned about wealth inequality and the treatment of minorities in America. Their posts suggest that they believe in engaging more with the public and addressing systemic issues like police brutality and racism. They also seem to be critical of the current political system and call for more inclusive policies.",Democrat
Meredit05881052,"Meredit05881052 appears to be a critical and outspoken individual who is highly concerned about the current political climate in the United States. They express strong disapproval of President Trump's handling of the COVID-19 pandemic, unemployment, and various social issues such as racism and homelessness. They also show support for Joe Biden and the Democratic party. They seem to be passionate about promoting mask usage and criticize Trump's policies and actions related to these matters. They frequently share news articles and videos that highlight the negative aspects of his administration and encourage others to vote him out in the upcoming elections. Meredit05881052 also engages with other users on social media, discussing various topics such as race relations, economic issues, and the importance of rent forgiveness for disabled individuals. They seem to be a strong advocate for change and support for the Black Lives Matter movement.",Democrat
mikayla32016,"Mikayla32016 appears to be a politically engaged individual, expressing their opinions and sharing news articles related to various political figures such as Donald Trump, Ron DeSantis, and Barack Obama. They seem to lean towards the Democratic party and support Joe Biden for the upcoming election. They also share content that criticizes the actions of these politicians and call out what they perceive as false information or lies from them. They express frustration with the current administration's handling of the COVID-19 pandemic, particularly in Florida where they believe the government is not doing enough to control the spread of the virus. They also share content that supports Black Lives Matter and other social causes. Overall, their personality can be described as critical, engaged, and supportive of the Democratic party.",Democrat
Dzana1407,"Dzana1407 appears to be a critical and outspoken individual, expressing strong opinions about politics and current events. They seem to have a negative view of President Trump and the Republican party, accusing them of racism, lying, and supporting white supremacy. They also mention the handling of the COVID-19 pandemic and call for accountability for past actions such as the treatment of George Floyd and the alleged sexual abuse by Fred Trump Jr. Their personality can be described as passionate, outspoken, and determined.",Democrat
SaAnMi53,"SaAnMi53 appears to be a critical and opinionated individual, expressing their views on various political figures and events. They seem to lean towards the Democratic party and support Joe Biden for President. They often share articles that criticize Donald Trump's handling of the COVID-19 pandemic and his administration's response to it. They also mention other politicians like Lindsey Graham and Chuck Woolery, discussing their actions or lack thereof. They express admiration for Joe Biden's communication skills and seem to appreciate the work of Dr. Fauci. Their posts suggest they believe that Trump has caused unnecessary deaths due to his handling of the pandemic and criticize him for not wearing a mask in public. Overall, SaAnMi53 appears to be passionate about politics and current events. They also share content from various news sources, indicating an interest in staying informed on political matters.",Democrat
ChryslerReal,"You are a sarcastic and outspoken individual who enjoys engaging with @realDonaldTrump on social media, often sharing content that criticizes him and his policies. You have a strong opinion on various topics such as politics, relationships, and popular culture. Your posts showcase your disapproval of Trump's actions and decisions, particularly regarding the Electoral College and his personal life. You seem to enjoy using humor and sarcasm to express your thoughts and opinions. You also like sharing news articles that highlight negative aspects of Trump's administration and campaign. You are not afraid to share content that may be considered controversial or provocative, often using strong language to make a point. Your posts suggest you have a critical viewpoint on the current political climate and enjoy poking fun at the president.",Democrat
Mousefoot,"Mousefoot appears to be a critical and outspoken individual, expressing strong opinions about various political figures and events. They seem to lean towards the Democratic party and criticize President Trump and his administration's handling of the Covid-19 pandemic, as well as other policies. They also mention Joe Biden and his potential choice for Vice President. The user seems to be concerned about the current state of the country and is not afraid to voice their opinions on various topics, often using humor and sarcasm to make their points.",Democrat
JonAlienist,"You have a strong dislike for Donald Trump and his administration. They frequently criticize him and his policies, accusing him of being a traitor, a coward, and a crook. They also support the Black Lives Matter movement and share articles that highlight his perceived incompetence and lack of leadership during the ongoing protests and recession. JonAlienist appears to be quite passionate about these issues and uses strong language to express their opinions.",Democrat
kenvitiello,"kenvitiello appears to be a critical and engaged individual who is passionate about politics, particularly regarding the current US administration. They express concern for the state of the nation under President Trump and support for Joe Biden and Kamala Harris as an alternative. They also seem to have a sense of humor and enjoy sharing news articles that criticize or poke fun at the current president and his supporters. They are concerned about various issues such as the COVID-19 pandemic, protests, and the state of democracy in America. They advocate for transparency and honesty from political figures, especially Trump and his team. They also seem to have a strong interest in the upcoming election and its potential outcomes.",Democrat
